Year,Month,SCA,CCA
2000,1,0,
2000,2,0.36,0.58
2000,3,0.39,2.19
2000,4,1.11,16.02
2000,5,15.69,16.69
2000,6,42.17,16.16
2000,7,15.25,10.22
2000,8,7.70,17.27
2000,9,3.91,1.65
2000,10,0.70,2.65
2000,11,0.13,0.00
2000,12,0.07,0.43
2001,1,0.98,5.22
2001,2,1.99,4.68
2001,3,6.60,2.90
2001,4,3.07,0.93
2001,5,8.66,6.92
2001,6,3.69,0.06
2001,7,1.58,0.08
2001,8,2.08,0.67
2001,9,2.93,1.17
2001,10,0.57,0.07
2001,11,0.14,0.02
2001,12,0.46,2.85
2002,1,0.19,0.00
2002,2,0.60,5.10
2002,3,1.92,4.34
2002,4,3.42,0.88
2002,5,21.52,12.70
2002,6,21.88,5.17
2002,7,60.06,14.09
2002,8,24.65,0.24
2002,9,9.55,0.00
2002,10,3.99,2.55
2002,11,1.37,0.03
2002,12,0.31,0.31
2003,1,0.26,2.38
2003,2,1.32,0.15
2003,3,0.36,0.00
2003,4,0.34,0.01
2003,5,20.73,3.61
2003,6,13.87,0.01
2003,7,11.90,6.00
2003,8,19.74,1.10
2003,9,3.85,0.00
2003,10,0.94,0.00
2003,11,0.21,0.00
2003,12,0.14,0.15
2004,1,0.72,2.70
2004,2,1.17,0.43
2004,3,0.40,0.00
2004,4,0.35,0.00
2004,5,0.91,0.32
2004,6,0.48,0.80
2004,7,12.64,4.56
2004,8,31.69,24.24
2004,9,6.91,0.02
2004,10,1.44,0.00
2004,11,0.33,0.00
2004,12,0.21,0.00
2005,1,1.50,0.93
2005,2,0.81,11.53
2005,3,0.75,0.01
2005,4,10.83,2.97
2005,5,22.47,2.07
2005,6,8.00,0.13
2005,7,3.56,0.00
2005,8,0.97,0.03
2005,9,40.86,11.42
2005,10,25.00,0.08
2005,11,3.35,0.18
2005,12,0.46,0.18
2006,1,2.29,0.87
2006,2,5.77,0.71
2006,3,0.55,0.01
2006,4,0.32,0.01
2006,5,7.86,0.98
2006,6,16.80,2.97
2006,7,2.50,0.14
2006,8,3.86,2.36
2006,9,9.79,0.02
2006,10,0.36,0.00
2006,11,0.25,0.00
2006,12,0.23,0.62
2007,1,0.65,1.42
2007,2,1.92,0.11
2007,3,0.23,0.02
2007,4,0.20,0.04
2007,5,1.11,0.45
2007,6,13.90,14.33
2007,7,28.92,9.55
2007,8,10.42,1.61
2007,9,4.93,1.12
2007,10,1.00,0.05
2007,11,0.18,0.23
2007,12,0.14,0.01
2008,1,1.10,2.66
2008,2,2.26,0.12
2008,3,0.26,0.00
2008,4,0.56,0.00
2008,5,0.68,0.07
2008,6,21.49,9.12
2008,7,15.30,0.35
2008,8,2.30,0.00
2008,9,0.87,0.01
2008,10,0.24,0.00
2008,11,0.18,0.00
2008,12,0.19,0.02
2009,1,0.56,0.03
2009,2,1.15,0.22
2009,3,1.67,0.12
2009,4,1.74,0.00
2009,5,0.87,1.29
2009,6,1.60,0.01
2009,7,23.46,20.35
2009,8,12.96,0.06
2009,9,3.50,0.37
2009,10,0.84,0.26
2009,11,0.15,0.02
2009,12,0.11,0.42
2010,1,0.23,0.08
2010,2,0.28,0.29
2010,3,0.22,0.00
2010,4,0.20,3.63
2010,5,22.25,12.48
2010,6,5.25,0.21
2010,7,1.85,0.00
2010,8,1.08,0.30
2010,9,0.30,0.53
2010,10,0.48,0.02
2010,11,0.30,0.00
2010,12,0.13,0.00
2011,1,0.22,2.03
2011,2,3.26,2.88
2011,3,1.01,0.20
2011,4,3.36,0.36
2011,5,0.74,0.10
2011,6,29.72,18.09
2011,7,73.23,13.39
2011,8,41.48,0.39
2011,9,17.05,0.02
2011,10,5.63,0.79
2011,11,1.56,0.00
2011,12,0.49,0.28
2012,1,4.43,1.67
2012,2,7.37,6.11
2012,3,4.72,0.09
2012,4,7.95,1.60
2012,5,3.58,0.01
2012,6,18.92,4.52
2012,7,34.19,9.76
2012,8,10.26,0.05
2012,9,3.61,0.01
2012,10,1.28,0.02
2012,11,0.30,0.00
2012,12,0.40,0.00
2013,1,1.17,6.07
2013,2,2.74,1.21
2013,3,0.37,0.00
2013,4,0.25,0.00
2013,5,25.97,6.43
2013,6,50.29,23.15
2013,7,37.42,9.15
2013,8,31.24,6.34
2013,9,29.28,1.34
2013,10,8.69,0.01
2013,11,2.07,0.00
2013,12,0.39,0.09
2014,1,1.85,0.72
2014,2,0.35,0.01
2014,3,0.79,0.06
2014,4,0.55,0.06
2014,5,12.42,8.85
2014,6,12.63,4.47
2014,7,2.55,0.35
2014,8,3.42,1.18
2014,9,5.26,1.42
2014,10,0.56,0.10
2014,11,0.19,0.00
2014,12,0.14,0.00
2015,1,0.53,0.81
2015,2,1.71,0.16
2015,3,11.39,3.06
2015,4,14.66,0.17
2015,5,12.83,3.68
2015,6,9.99,0.48
2015,7,9.91,8.50
2015,8,13.05,2.13
2015,9,3.10,0.18
2015,10,4.67,3.12
2015,11,1.16,0.01
2015,12,0.22,2.22
2016,1,0.20,0.00
2016,2,0.37,8.96
2016,3,0.27,0.00
2016,4,4.78,0.65
2016,5,10.39,5.85
2016,6,3.46,0.41
2016,7,18.01,10.12
2016,8,4.01,0.21
2016,9,1.39,0.00
2016,10,0.27,0.00
2016,11,0.13,0.01
2016,12,0.14,0.01
2017,1,2.04,0.52
2017,2,2.98,9.94
2017,3,5.00,0.05
2017,4,7.77,1.35
2017,5,20.52,17.33
2017,6,81.64,21.32
2017,7,70.66,0.52
2017,8,42.71,0.35
2017,9,15.45,0.09
2017,10,6.87,0.00
2017,11,2.37,0.00
2017,12,0.54,0.54
2018,1,0.34,1.04
2018,2,6.41,2.43
2018,3,1.91,0.09
2018,4,0.64,0.00
2018,5,0.70,0.17
2018,6,27.27,6.81
2018,7,31.66,13.80
2018,8,55.96,6.31
2018,9,16.12,0.01
2018,10,5.71,0.40
2018,11,1.39,0.00
2018,12,0.26,0.91
2019,1,0.66,5.12
2019,2,6.89,9.87
2019,3,1.23,0.01
2019,4,2.72,0.13
2019,5,2.74,4.89
2019,6,18.18,7.59
2019,7,12.28,4.94
2019,8,2.95,0.00
2019,9,20.68,3.12
2019,10,1.85,0.08
2019,11,0.37,0.11
2019,12,0.29,1.11
2020,1,2.85,3.57
2020,2,0.90,0.11
2020,3,1.83,0.91
2020,4,0.59,0.02
2020,5,0.33,0.61
2020,6,3.31,0.78
2020,7,0.52,0.06
2020,8,14.76,9.67
2020,9,43.03,1.03
2020,10,8.36,0.00
2020,11,1.21,0.00
2020,12,0.48,0.14
2021,1,1.27,1.42
2021,2,0.93,0.01
2021,3,1.75,0.05
2021,4,0.97,0.03
2021,5,15.64,9.20
2021,6,59.98,12.45
2021,7,17.62,6.42
2021,8,17.58,0.62
2021,9,4.28,0.03
2021,10,1.88,0.92
2021,11,0.39,0.00
2021,12,0.86,11.27
2022,1,1.99,0.53
2022,2,0.38,0.06
2022,3,3.20,0.79
2022,4,0.18,0.33
2022,5,0.65,0.00
2022,6,29.13,4.87
