Year,Month,SCA,CCA
2000,1,0,
2000,2,0.69,52.42
2000,3,0.39,12.35
2000,4,0.24,44.99
2000,5,2.10,57.89
2000,6,15.32,80.73
2000,7,27.44,50.50
2000,8,22.28,64.82
2000,9,20.64,63.20
2000,10,14.56,33.60
2000,11,8.13,29.63
2000,12,2.70,10.42
2001,1,0.83,11.44
2001,2,0.42,2.82
2001,3,0.27,14.23
2001,4,1.89,21.64
2001,5,5.01,73.62
2001,6,15.59,81.69
2001,7,24.18,79.06
2001,8,19.01,42.90
2001,9,16.99,34.35
2001,10,8.35,30.41
2001,11,3.78,26.15
2001,12,1.38,0.55
2002,1,0.51,6.61
2002,2,0.29,8.13
2002,3,0.33,42.73
2002,4,0.93,40.54
2002,5,6.29,61.73
2002,6,29.61,49.28
2002,7,29.16,42.91
2002,8,24.63,59.52
2002,9,22.07,47.62
2002,10,17.71,59.76
2002,11,11.63,26.37
2002,12,5.19,8.02
2003,1,1.62,8.77
2003,2,0.79,0.15
2003,3,0.55,2.96
2003,4,0.78,12.90
2003,5,2.76,26.25
2003,6,9.81,68.17
2003,7,21.71,33.41
2003,8,17.75,36.50
2003,9,13.59,36.47
2003,10,7.46,14.57
2003,11,2.30,14.77
2003,12,1.28,15.10
2004,1,0.55,3.73
2004,2,0.44,2.34
2004,3,0.36,10.39
2004,4,1.84,35.88
2004,5,1.55,15.79
2004,6,16.39,68.10
2004,7,23.77,65.93
2004,8,20.15,42.89
2004,9,18.68,31.97
2004,10,8.99,51.10
2004,11,5.22,24.85
2004,12,1.43,9.17
2005,1,0.66,0.35
2005,2,0.44,0.19
2005,3,0.45,1.95
2005,4,0.99,2.18
2005,5,14.00,63.76
2005,6,29.28,61.91
2005,7,30.43,42.92
2005,8,30.73,47.74
2005,9,24.22,22.10
2005,10,15.02,11.57
2005,11,7.74,28.60
2005,12,3.21,7.18
2006,1,1.09,3.93
2006,2,0.62,0.39
2006,3,0.57,1.76
2006,4,0.64,20.11
2006,5,1.39,36.75
2006,6,17.77,72.80
2006,7,30.51,65.35
2006,8,32.48,41.50
2006,9,25.04,33.51
2006,10,16.11,30.07
2006,11,6.72,8.95
2006,12,2.54,24.47
2007,1,1.00,8.82
2007,2,0.87,3.36
2007,3,0.52,2.68
2007,4,1.61,26.88
2007,5,1.68,30.31
2007,6,31.91,42.12
2007,7,38.69,50.72
2007,8,39.89,28.64
2007,9,30.12,31.19
2007,10,16.51,28.04
2007,11,4.73,6.20
2007,12,1.11,3.32
2008,1,0.45,3.44
2008,2,0.34,0.95
2008,3,0.33,0.65
2008,4,1.00,5.09
2008,5,2.10,34.16
2008,6,23.95,37.05
2008,7,23.68,71.21
2008,8,30.28,57.59
2008,9,23.26,20.46
2008,10,11.31,14.27
2008,11,4.29,5.11
2008,12,0.98,0.33
2009,1,0.44,0.08
2009,2,0.32,0.67
2009,3,0.25,3.21
2009,4,0.38,3.53
2009,5,1.98,40.93
2009,6,9.91,39.53
2009,7,24.45,37.64
2009,8,23.37,70.61
2009,9,18.43,13.78
2009,10,13.89,33.85
2009,11,7.00,35.56
2009,12,2.38,5.23
2010,1,0.85,1.40
2010,2,0.49,3.99
2010,3,0.37,5.05
2010,4,0.67,12.39
2010,5,3.38,23.86
2010,6,14.24,54.48
2010,7,36.37,43.44
2010,8,34.20,30.56
2010,9,26.71,18.56
2010,10,16.03,32.26
2010,11,5.65,18.34
2010,12,1.73,6.91
2011,1,0.59,3.62
2011,2,0.36,0.32
2011,3,0.60,6.48
2011,4,2.37,20.59
2011,5,3.30,20.63
2011,6,20.68,51.16
2011,7,34.53,40.28
2011,8,38.89,53.44
2011,9,31.32,21.49
2011,10,16.76,16.07
2011,11,7.64,14.22
2011,12,1.72,0.62
2012,1,0.45,9.77
2012,2,0.31,6.50
2012,3,0.30,4.32
2012,4,0.37,15.51
2012,5,1.85,46.36
2012,6,11.68,60.53
2012,7,26.30,22.43
2012,8,18.60,43.82
2012,9,8.60,18.31
2012,10,3.66,29.86
2012,11,1.26,9.95
2012,12,1.68,25.32
2013,1,0.46,0.09
2013,2,0.25,11.52
2013,3,0.26,3.27
2013,4,0.55,8.92
2013,5,1.68,31.19
2013,6,17.38,29.75
2013,7,25.87,40.95
2013,8,28.67,28.81
2013,9,20.03,38.64
2013,10,10.07,15.69
2013,11,3.82,11.14
2013,12,0.96,0.48
2014,1,0.39,6.17
2014,2,0.31,2.71
2014,3,0.42,5.61
2014,4,1.00,11.13
2014,5,3.24,40.58
2014,6,36.93,48.25
2014,7,33.35,43.68
2014,8,26.49,33.38
2014,9,19.78,49.02
2014,10,11.05,20.07
2014,11,4.11,5.07
2014,12,1.11,5.49
2015,1,0.51,0.07
2015,2,0.30,0.11
2015,3,0.35,0.26
2015,4,0.61,10.82
2015,5,2.57,38.03
2015,6,26.60,42.70
2015,7,30.96,59.01
2015,8,28.30,58.69
2015,9,21.57,45.77
2015,10,13.09,29.64
2015,11,5.24,11.82
2015,12,1.16,1.29
2016,1,0.43,5.36
2016,2,0.25,0.19
2016,3,0.21,0.29
2016,4,1.21,26.50
2016,5,1.52,33.01
2016,6,3.61,9.30
2016,7,12.89,46.72
2016,8,21.47,34.23
2016,9,9.78,17.15
2016,10,3.00,24.84
2016,11,0.96,3.85
2016,12,0.43,2.29
2017,1,0.20,2.66
2017,2,0.21,12.74
2017,3,0.48,9.67
2017,4,0.93,9.94
2017,5,3.39,25.94
2017,6,23.52,58.62
2017,7,29.15,22.77
2017,8,31.74,55.21
2017,9,27.65,14.81
2017,10,17.60,33.98
2017,11,7.07,22.71
2017,12,1.63,4.02
2018,1,0.43,5.78
2018,2,0.28,0.99
2018,3,0.64,1.43
2018,4,1.54,19.62
2018,5,2.39,38.87
2018,6,27.79,47.98
2018,7,22.74,38.94
2018,8,22.48,40.23
2018,9,14.34,41.52
2018,10,15.03,34.14
2018,11,4.30,14.89
2018,12,1.36,3.98
2019,1,0.62,7.94
2019,2,0.31,2.72
2019,3,0.22,0.14
2019,4,0.26,6.65
2019,5,1.89,40.96
2019,6,23.19,65.10
2019,7,36.33,39.12
2019,8,31.26,43.03
2019,9,21.67,30.30
2019,10,12.05,27.34
2019,11,3.96,9.98
2019,12,0.86,0.19
2020,1,0.41,5.11
2020,2,0.28,0.05
2020,3,0.17,2.39
2020,4,0.38,14.67
2020,5,1.86,20.49
2020,6,11.77,68.93
2020,7,34.60,57.81
2020,8,29.94,28.81
2020,9,21.83,22.57
2020,10,12.76,6.00
2020,11,3.20,1.74
2020,12,0.80,1.79
2021,1,0.37,11.15
2021,2,0.23,1.72
2021,3,0.22,0.70
2021,4,0.28,10.80
2021,5,3.35,38.50
2021,6,8.25,43.02
2021,7,19.61,29.97
2021,8,15.72,41.70
2021,9,20.13,19.84
2021,10,8.21,13.33
2021,11,1.33,10.43
2021,12,0.37,2.02
2022,1,0.21,10.28
2022,2,0.17,4.55
2022,3,0.35,2.61
2022,4,1.09,33.17
2022,5,8.16,26.22
2022,6,18.61,67.35
2022,7,38.27,61.46
2022,8,33.46,31.21
2022,9,25.24,18.22
2022,10,12.36,23.48
2022,11,3.95,13.65
2022,12,0.83,1.74
2023,1,0.29,0.02
2023,2,0.19,0.05
2023,3,0.14,8.50
2023,4,0.24,13.62
2023,5,3.34,20.00
2023,6,18.04,54.40
2023,7,26.65,63.24
2023,8,21.36,48.86
2023,9,21.87,46.76
2023,10,12.12,19.33
2023,11,7.10,15.50
2023,12,2.33,0.49
2024,1,0.78,0.19
2024,2,0.34,2.73
2024,3,0.28,1.38
2024,4,0.95,25.59
