Year,Month,SCA
2000,1,0
2000,2,0.00
2000,3,0.00
2000,4,0.08
2000,5,2.06
2000,6,8.61
2000,7,14.82
2000,8,8.34
2000,9,9.82
2000,10,4.93
2000,11,1.47
2000,12,0.06
2001,1,0.00
2001,2,0.00
2001,3,0.10
2001,4,0.37
2001,5,2.83
2001,6,1.81
2001,7,9.01
2001,8,9.89
2001,9,7.35
2001,10,3.96
2001,11,1.02
2001,12,0.04
2002,1,0.00
2002,2,0.00
2002,3,0.05
2002,4,0.14
2002,5,1.21
2002,6,16.50
2002,7,14.47
2002,8,13.88
2002,9,8.52
2002,10,5.45
2002,11,2.99
2002,12,0.68
2003,1,0.12
2003,2,0.00
2003,3,0.03
2003,4,0.04
2003,5,3.74
2003,6,8.17
2003,7,9.20
2003,8,5.98
2003,9,3.97
2003,10,1.59
2003,11,0.32
2003,12,0.01
2004,1,0.01
2004,2,0.02
2004,3,0.05
2004,4,1.80
2004,5,1.39
2004,6,3.44
2004,7,7.18
2004,8,11.85
2004,9,4.03
2004,10,0.48
2004,11,0.42
2004,12,0.01
2005,1,0.07
2005,2,0.02
2005,3,0.05
2005,4,0.50
2005,5,5.53
2005,6,5.39
2005,7,7.09
2005,8,8.29
2005,9,9.02
2005,10,4.93
2005,11,2.79
2005,12,0.54
2006,1,0.01
2006,2,0.05
2006,3,0.00
2006,4,0.00
2006,5,0.26
2006,6,5.26
2006,7,12.88
2006,8,8.87
2006,9,5.63
2006,10,4.07
2006,11,1.03
2006,12,0.03
2007,1,0.02
2007,2,0.03
2007,3,0.04
2007,4,0.01
2007,5,0.78
2007,6,10.65
2007,7,11.85
2007,8,11.51
2007,9,6.02
2007,10,2.34
2007,11,0.21
2007,12,0.01
2008,1,0.01
2008,2,0.03
2008,3,0.05
2008,4,0.09
2008,5,3.16
2008,6,9.13
2008,7,8.84
2008,8,10.67
2008,9,7.86
2008,10,4.26
2008,11,1.01
2008,12,0.02
2009,1,0.02
2009,2,0.00
2009,3,0.05
2009,4,0.01
2009,5,0.07
2009,6,2.27
2009,7,13.62
2009,8,11.35
2009,9,7.18
2009,10,3.96
2009,11,1.03
2009,12,0.04
2010,1,0.00
2010,2,0.00
2010,3,0.01
2010,4,0.01
2010,5,0.74
2010,6,7.79
2010,7,11.62
2010,8,6.75
2010,9,3.59
2010,10,0.80
2010,11,0.50
2010,12,0.00
2011,1,0.01
2011,2,0.02
2011,3,0.02
2011,4,0.00
2011,5,0.04
2011,6,8.90
2011,7,14.56
2011,8,11.33
2011,9,6.01
2011,10,2.00
2011,11,0.10
2011,12,0.02
2012,1,0.02
2012,2,0.02
2012,3,0.00
2012,4,0.33
2012,5,1.87
2012,6,5.93
2012,7,3.83
2012,8,6.03
2012,9,1.99
2012,10,0.79
2012,11,0.03
2012,12,0.01
2013,1,0.03
2013,2,0.01
2013,3,0.04
2013,4,0.00
2013,5,1.85
2013,6,6.04
2013,7,6.29
2013,8,7.25
2013,9,2.72
2013,10,1.37
2013,11,0.25
2013,12,0.00
2014,1,0.02
2014,2,0.02
2014,3,0.01
2014,4,0.01
2014,5,0.59
2014,6,10.67
2014,7,7.72
2014,8,5.15
2014,9,3.13
2014,10,0.55
2014,11,0.02
2014,12,0.00
2015,1,0.00
2015,2,0.01
2015,3,0.22
2015,4,0.02
2015,5,0.05
2015,6,0.04
2015,7,7.56
2015,8,11.39
2015,9,6.83
2015,10,6.03
2015,11,2.69
2015,12,0.27
2016,1,0.01
2016,2,0.00
2016,3,0.00
2016,4,0.86
2016,5,2.73
2016,6,11.96
2016,7,10.53
2016,8,6.87
2016,9,4.29
2016,10,1.49
2016,11,0.34
2016,12,0.32
2017,1,0.00
2017,2,0.07
2017,3,0.02
2017,4,0.10
2017,5,5.59
2017,6,8.92
2017,7,8.75
2017,8,6.50
2017,9,3.76
2017,10,1.82
2017,11,0.04
2017,12,0.01
2018,1,0.00
2018,2,0.05
2018,3,0.01
2018,4,0.01
2018,5,0.04
2018,6,9.13
2018,7,7.33
2018,8,5.18
2018,9,2.13
2018,10,0.94
2018,11,0.07
2018,12,0.01
2019,1,0.00
2019,2,0.01
2019,3,0.00
2019,4,0.05
2019,5,0.16
2019,6,4.20
2019,7,2.76
2019,8,0.09
2019,9,0.37
2019,10,0.00
2019,11,0.00
2019,12,0.02
2020,1,0.01
2020,2,0.00
2020,3,0.02
2020,4,0.14
2020,5,0.07
2020,6,3.88
2020,7,12.21
2020,8,6.95
2020,9,3.44
2020,10,0.48
2020,11,0.02
2020,12,0.01
2021,1,0.01
2021,2,0.02
2021,3,0.06
2021,4,0.00
2021,5,1.12
2021,6,1.90
2021,7,3.14
2021,8,2.53
2021,9,2.98
2021,10,0.09
2021,11,0.00
2021,12,0.01
2022,1,0.01
2022,2,0.01
2022,3,0.01
2022,4,0.07
2022,5,0.04
2022,6,3.75
2022,7,17.49
2022,8,11.30
2022,9,5.69
2022,10,2.27
2022,11,0.10
2022,12,0.03
2023,1,0.04
2023,2,0.01
2023,3,0.00
2023,4,0.01
2023,5,0.12
2023,6,0.48
2023,7,3.84
2023,8,3.42
2023,9,4.75
2023,10,1.01
2023,11,0.55
2023,12,0.00
