Year,Month,SCA
2000,1,0
2000,2,3.54
2000,3,10.05
2000,4,12.79
2000,5,24.99
2000,6,43.80
2000,7,50.49
2000,8,29.22
2000,9,25.26
2000,10,15.79
2000,11,7.33
2000,12,3.57
2001,1,4.27
2001,2,5.99
2001,3,17.92
2001,4,16.67
2001,5,27.71
2001,6,42.85
2001,7,49.22
2001,8,35.62
2001,9,22.03
2001,10,15.69
2001,11,4.86
2001,12,10.65
2002,1,10.62
2002,2,11.11
2002,3,11.14
2002,4,16.62
2002,5,44.98
2002,6,59.53
2002,7,50.62
2002,8,35.03
2002,9,23.98
2002,10,17.06
2002,11,11.24
2002,12,8.47
2003,1,8.07
2003,2,12.38
2003,3,15.92
2003,4,21.93
2003,5,28.56
2003,6,59.85
2003,7,48.18
2003,8,36.98
2003,9,23.90
2003,10,20.03
2003,11,15.00
2003,12,10.23
2004,1,9.96
2004,2,12.18
2004,3,14.65
2004,4,20.82
2004,5,31.37
2004,6,47.19
2004,7,54.02
2004,8,38.04
2004,9,24.79
2004,10,17.02
2004,11,13.95
2004,12,10.16
2005,1,9.07
2005,2,12.57
2005,3,14.55
2005,4,21.81
2005,5,43.04
2005,6,71.37
2005,7,63.09
2005,8,44.78
2005,9,29.12
2005,10,21.20
2005,11,13.95
2005,12,11.10
2006,1,11.27
2006,2,12.72
2006,3,15.40
2006,4,24.84
2006,5,30.54
2006,6,51.48
2006,7,56.91
2006,8,41.17
2006,9,30.69
2006,10,19.83
2006,11,13.36
2006,12,8.81
2007,1,9.89
2007,2,11.98
2007,3,16.05
2007,4,26.16
2007,5,40.70
2007,6,47.83
2007,7,55.61
2007,8,43.62
2007,9,28.04
2007,10,18.22
2007,11,14.06
2007,12,7.15
2008,1,11.15
2008,2,9.18
2008,3,13.06
2008,4,29.01
2008,5,45.01
2008,6,56.59
2008,7,60.91
2008,8,53.45
2008,9,33.23
2008,10,19.99
2008,11,12.77
2008,12,10.90
2009,1,11.44
2009,2,8.37
2009,3,14.51
2009,4,18.66
2009,5,43.67
2009,6,54.41
2009,7,53.92
2009,8,41.92
2009,9,29.68
2009,10,23.11
2009,11,13.84
2009,12,9.25
2010,1,9.50
2010,2,14.04
2010,3,15.17
2010,4,22.17
2010,5,36.46
2010,6,49.09
2010,7,55.89
2010,8,43.63
2010,9,28.48
2010,10,18.29
2010,11,13.51
2010,12,7.96
2011,1,11.26
2011,2,12.96
2011,3,14.21
2011,4,27.07
2011,5,40.21
2011,6,52.57
2011,7,63.58
2011,8,56.61
2011,9,34.08
2011,10,21.98
2011,11,13.69
2011,12,11.26
2012,1,10.02
2012,2,12.66
2012,3,13.59
2012,4,26.75
2012,5,46.32
2012,6,62.11
2012,7,65.41
2012,8,45.46
2012,9,28.70
2012,10,24.16
2012,11,15.21
2012,12,11.96
2013,1,11.53
2013,2,12.56
2013,3,14.27
2013,4,20.34
2013,5,40.77
2013,6,58.11
2013,7,50.70
2013,8,43.30
2013,9,36.34
2013,10,16.94
2013,11,17.34
2013,12,11.33
2014,1,8.37
2014,2,12.45
2014,3,15.86
2014,4,20.72
2014,5,39.78
2014,6,51.24
2014,7,53.27
2014,8,41.88
2014,9,26.92
2014,10,20.00
2014,11,15.40
2014,12,11.08
2015,1,11.46
2015,2,12.24
2015,3,15.27
2015,4,21.65
2015,5,34.95
2015,6,52.86
2015,7,58.58
2015,8,50.11
2015,9,31.79
2015,10,21.04
2015,11,12.01
2015,12,12.27
2016,1,11.11
2016,2,12.23
2016,3,14.55
2016,4,22.54
2016,5,25.17
2016,6,36.02
2016,7,35.37
2016,8,34.58
2016,9,21.03
2016,10,16.78
2016,11,11.02
2016,12,10.18
2017,1,5.92
2017,2,12.06
2017,3,13.65
2017,4,17.73
2017,5,34.44
2017,6,56.19
2017,7,49.60
2017,8,38.51
2017,9,29.03
2017,10,21.37
2017,11,14.68
2017,12,10.94
2018,1,7.14
2018,2,10.32
2018,3,18.98
2018,4,23.67
2018,5,35.77
2018,6,56.21
2018,7,54.68
2018,8,44.38
2018,9,33.29
2018,10,21.98
2018,11,13.65
2018,12,10.26
2019,1,10.54
2019,2,12.12
2019,3,13.96
2019,4,20.05
2019,5,37.70
2019,6,50.06
2019,7,49.29
2019,8,41.85
2019,9,31.56
2019,10,20.27
2019,11,14.64
2019,12,10.71
2020,1,7.93
2020,2,11.49
2020,3,13.60
2020,4,20.04
2020,5,32.07
2020,6,64.46
2020,7,72.66
2020,8,50.72
2020,9,30.42
2020,10,21.68
2020,11,10.98
2020,12,10.44
2021,1,11.41
2021,2,12.01
2021,3,14.63
2021,4,18.32
2021,5,33.34
2021,6,52.28
2021,7,51.71
2021,8,36.54
2021,9,25.39
2021,10,17.29
2021,11,11.69
2021,12,10.60
2022,1,10.86
2022,2,11.72
2022,3,14.22
2022,4,23.07
2022,5,34.10
2022,6,48.34
2022,7,64.28
2022,8,43.71
2022,9,29.33
2022,10,19.83
2022,11,12.79
2022,12,11.39
2023,1,11.44
2023,2,8.90
2023,3,20.00
2023,4,24.38
2023,5,39.20
2023,6,51.23
2023,7,62.15
2023,8,46.91
2023,9,39.61
2023,10,24.68
2023,11,17.22
2023,12,15.14
