Year,SCA
2000-02-01,0.13
2000-03-01,0.35
2000-04-01,0.09
2000-05-01,0.88
2000-06-01,2.65
2000-07-01,4.16
2000-08-01,3.47
2000-09-01,3.66
2000-10-01,2.11
2000-11-01,1.43
2000-12-01,0.84
2001-01-01,0.50
2001-02-01,0.26
2001-03-01,0.15
2001-04-01,0.59
2001-05-01,1.01
2001-06-01,1.81
2001-07-01,4.63
2001-08-01,2.87
2001-09-01,2.35
2001-10-01,1.23
2001-11-01,0.79
2001-12-01,0.47
2002-01-01,0.23
2002-02-01,0.12
2002-03-01,0.18
2002-04-01,0.27
2002-05-01,1.96
2002-06-01,5.84
2002-07-01,4.97
2002-08-01,3.85
2002-09-01,3.12
2002-10-01,2.35
2002-11-01,1.61
2002-12-01,0.96
2003-01-01,0.61
2003-02-01,0.43
2003-03-01,0.28
2003-04-01,0.40
2003-05-01,0.79
2003-06-01,2.79
2003-07-01,5.07
2003-08-01,3.54
2003-09-01,2.52
2003-10-01,1.39
2003-11-01,0.71
2003-12-01,0.63
2004-01-01,0.36
2004-02-01,0.24
2004-03-01,0.15
2004-04-01,0.59
2004-05-01,0.45
2004-06-01,3.47
2004-07-01,4.94
2004-08-01,3.02
2004-09-01,3.28
2004-10-01,1.46
2004-11-01,1.02
2004-12-01,0.64
2005-01-01,0.43
2005-02-01,0.25
2005-03-01,0.19
2005-04-01,0.40
2005-05-01,3.73
2005-06-01,8.90
2005-07-01,4.63
2005-08-01,5.83
2005-09-01,3.26
2005-10-01,2.05
2005-11-01,0.92
2005-12-01,0.81
2006-01-01,0.48
2006-02-01,0.35
2006-03-01,0.28
2006-04-01,0.31
2006-05-01,0.64
2006-06-01,3.68
2006-07-01,7.28
2006-08-01,5.00
2006-09-01,3.35
2006-10-01,2.45
2006-11-01,1.07
2006-12-01,0.73
2007-01-01,0.41
2007-02-01,0.34
2007-03-01,0.21
2007-04-01,0.64
2007-05-01,0.97
2007-06-01,8.77
2007-07-01,12.89
2007-08-01,11.93
2007-09-01,5.90
2007-10-01,3.18
2007-11-01,1.11
2007-12-01,0.75
2008-01-01,0.31
2008-02-01,0.08
2008-03-01,0.08
2008-04-01,0.44
2008-05-01,0.94
2008-06-01,4.35
2008-07-01,3.99
2008-08-01,7.63
2008-09-01,3.27
2008-10-01,1.82
2008-11-01,0.98
2008-12-01,0.50
2009-01-01,0.24
2009-02-01,0.14
2009-03-01,0.06
2009-04-01,0.18
2009-05-01,1.03
2009-06-01,2.68
2009-07-01,4.34
2009-08-01,3.94
2009-09-01,2.50
2009-10-01,2.15
2009-11-01,1.16
2009-12-01,0.79
2010-01-01,0.45
2010-02-01,0.27
2010-03-01,0.18
2010-04-01,0.33
2010-05-01,1.24
2010-06-01,4.05
2010-07-01,9.22
2010-08-01,7.38
2010-09-01,4.07
2010-10-01,2.67
2010-11-01,1.32
2010-12-01,0.82
2011-01-01,0.40
2011-02-01,0.21
2011-03-01,0.29
2011-04-01,0.64
2011-05-01,1.19
2011-06-01,3.78
2011-07-01,7.90
2011-08-01,9.07
2011-09-01,5.21
2011-10-01,2.65
2011-11-01,1.37
2011-12-01,0.76
2012-01-01,0.34
2012-02-01,0.16
2012-03-01,0.10
2012-04-01,0.14
2012-05-01,0.78
2012-06-01,3.51
2012-07-01,5.67
2012-08-01,3.05
2012-09-01,1.90
2012-10-01,0.89
2012-11-01,0.64
2012-12-01,0.56
2013-01-01,0.23
2013-02-01,0.14
2013-03-01,0.11
2013-04-01,0.35
2013-05-01,0.97
2013-06-01,3.26
2013-07-01,3.46
2013-08-01,4.45
2013-09-01,3.16
2013-10-01,1.54
2013-11-01,0.90
2013-12-01,0.54
2014-01-01,0.29
2014-02-01,0.16
2014-03-01,0.11
2014-04-01,0.47
2014-05-01,1.12
2014-06-01,7.07
2014-07-01,6.39
2014-08-01,4.21
2014-09-01,2.75
2014-10-01,1.68
2014-11-01,0.96
2014-12-01,0.56
2015-01-01,0.34
2015-02-01,0.17
2015-03-01,0.16
2015-04-01,0.19
2015-05-01,1.03
2015-06-01,4.90
2015-07-01,8.30
2015-08-01,4.96
2015-09-01,3.12
2015-10-01,2.11
2015-11-01,1.07
2015-12-01,0.61
2016-01-01,0.34
2016-02-01,0.19
2016-03-01,0.13
2016-04-01,0.53
2016-05-01,0.59
2016-06-01,1.31
2016-07-01,3.26
2016-08-01,3.43
2016-09-01,1.73
2016-10-01,0.85
2016-11-01,0.55
2016-12-01,0.31
2017-01-01,0.17
2017-02-01,0.10
2017-03-01,0.25
2017-04-01,0.40
2017-05-01,1.46
2017-06-01,5.97
2017-07-01,5.37
2017-08-01,5.10
2017-09-01,4.05
2017-10-01,2.56
2017-11-01,1.29
2017-12-01,0.80
2018-01-01,0.36
2018-02-01,0.21
2018-03-01,0.29
2018-04-01,0.62
2018-05-01,1.26
2018-06-01,5.80
2018-07-01,4.22
2018-08-01,3.70
2018-09-01,2.22
2018-10-01,2.42
2018-11-01,0.94
2018-12-01,0.66
2019-01-01,0.44
2019-02-01,0.22
2019-03-01,0.12
2019-04-01,0.21
2019-05-01,0.84
2019-06-01,4.74
2019-07-01,6.68
2019-08-01,4.95
2019-09-01,3.20
2019-10-01,2.26
2019-11-01,1.11
2019-12-01,0.67
2020-01-01,0.37
2020-02-01,0.23
2020-03-01,0.09
2020-04-01,0.14
2020-05-01,0.83
2020-06-01,3.43
2020-07-01,7.21
2020-08-01,5.32
2020-09-01,3.17
2020-10-01,2.22
2020-11-01,1.11
2020-12-01,0.65
2021-01-01,0.39
2021-02-01,0.16
2021-03-01,0.09
2021-04-01,0.13
2021-05-01,0.89
2021-06-01,2.59
2021-07-01,3.54
2021-08-01,2.56
2021-09-01,2.34
2021-10-01,1.51
2021-11-01,0.67
2021-12-01,0.26
2022-01-01,0.13
2022-02-01,0.06
2022-03-01,0.27
2022-04-01,1.06
2022-05-01,1.91
2022-06-01,3.31
2022-07-01,8.56
2022-08-01,4.68
2022-09-01,3.45
2022-10-01,1.98
2022-11-01,1.02
2022-12-01,0.52
2023-01-01,0.26
2023-02-01,0.11
2023-03-01,0.05
2023-04-01,0.23
2023-05-01,1.23
2023-06-01,4.50
2023-07-01,6.61
2023-08-01,2.94
2023-09-01,3.16
2023-10-01,1.90
2023-11-01,1.18
2023-12-01,0.75
