Year,Elevation,SCA
2000-02-01,100,0.00
2000-02-01,200,1.35
2000-02-01,300,0.10
2000-02-01,400,0.51
2000-02-01,500,1.45
2000-02-01,600,1.96
2000-02-01,700,2.25
2000-02-01,800,2.41
2000-02-01,900,2.37
2000-02-01,1000,1.84
2000-02-01,1100,1.68
2000-02-01,1200,2.00
2000-02-01,1300,2.24
2000-02-01,1400,4.15
2000-02-01,1500,4.45
2000-02-01,1600,5.51
2000-02-01,1700,5.59
2000-02-01,1800,4.71
2000-02-01,1900,5.33
2000-02-01,2000,5.17
2000-02-01,2100,7.41
2000-02-01,2200,7.98
2000-02-01,2300,14.41
2000-02-01,2400,15.17
2000-02-01,2500,13.87
2000-02-01,2600,24.18
2000-02-01,2700,15.76
2000-02-01,2800,16.25
2000-02-01,2900,17.16
2000-02-01,3000,10.52
2000-02-01,3100,4.53
2000-02-01,3200,0.00
2000-02-01,3300,0.00
2000-02-01,3400,0.00
2000-02-01,3500,0.00
2000-03-01,100,0.06
2000-03-01,200,0.79
2000-03-01,300,0.20
2000-03-01,400,0.65
2000-03-01,500,1.78
2000-03-01,600,2.31
2000-03-01,700,2.66
2000-03-01,800,3.46
2000-03-01,900,3.74
2000-03-01,1000,4.05
2000-03-01,1100,4.20
2000-03-01,1200,5.61
2000-03-01,1300,7.78
2000-03-01,1400,11.75
2000-03-01,1500,18.69
2000-03-01,1600,22.84
2000-03-01,1700,22.90
2000-03-01,1800,23.04
2000-03-01,1900,26.83
2000-03-01,2000,30.83
2000-03-01,2100,40.71
2000-03-01,2200,52.15
2000-03-01,2300,56.37
2000-03-01,2400,58.31
2000-03-01,2500,49.04
2000-03-01,2600,51.02
2000-03-01,2700,37.41
2000-03-01,2800,33.80
2000-03-01,2900,51.36
2000-03-01,3000,32.66
2000-03-01,3100,39.78
2000-03-01,3200,35.36
2000-03-01,3300,29.16
2000-03-01,3400,12.35
2000-03-01,3500,0.00
2000-04-01,100,1.60
2000-04-01,200,1.73
2000-04-01,300,0.60
2000-04-01,400,1.77
2000-04-01,500,2.95
2000-04-01,600,3.58
2000-04-01,700,3.81
2000-04-01,800,4.78
2000-04-01,900,5.25
2000-04-01,1000,5.79
2000-04-01,1100,6.49
2000-04-01,1200,8.76
2000-04-01,1300,12.10
2000-04-01,1400,17.92
2000-04-01,1500,25.02
2000-04-01,1600,30.10
2000-04-01,1700,31.66
2000-04-01,1800,31.17
2000-04-01,1900,34.34
2000-04-01,2000,36.41
2000-04-01,2100,44.13
2000-04-01,2200,48.83
2000-04-01,2300,58.72
2000-04-01,2400,57.40
2000-04-01,2500,43.78
2000-04-01,2600,47.07
2000-04-01,2700,37.37
2000-04-01,2800,23.11
2000-04-01,2900,25.89
2000-04-01,3000,22.95
2000-04-01,3100,21.90
2000-04-01,3200,11.26
2000-04-01,3300,38.51
2000-04-01,3400,20.54
2000-04-01,3500,0.00
2000-05-01,100,4.73
2000-05-01,200,5.20
2000-05-01,300,2.75
2000-05-01,400,5.31
2000-05-01,500,8.32
2000-05-01,600,8.99
2000-05-01,700,10.99
2000-05-01,800,13.36
2000-05-01,900,15.77
2000-05-01,1000,18.26
2000-05-01,1100,21.64
2000-05-01,1200,26.17
2000-05-01,1300,32.21
2000-05-01,1400,36.69
2000-05-01,1500,42.20
2000-05-01,1600,46.64
2000-05-01,1700,46.37
2000-05-01,1800,48.64
2000-05-01,1900,51.08
2000-05-01,2000,55.24
2000-05-01,2100,61.16
2000-05-01,2200,61.30
2000-05-01,2300,69.70
2000-05-01,2400,74.27
2000-05-01,2500,65.32
2000-05-01,2600,76.46
2000-05-01,2700,72.00
2000-05-01,2800,75.64
2000-05-01,2900,73.80
2000-05-01,3000,88.07
