Year,SCA
2000-02-01,0.00
2000-03-01,0.00
2000-04-01,0.08
2000-05-01,2.06
2000-06-01,8.61
2000-07-01,14.82
2000-08-01,8.34
2000-09-01,9.82
2000-10-01,4.93
2000-11-01,1.47
2000-12-01,0.06
2001-01-01,0.00
2001-02-01,0.00
2001-03-01,0.10
2001-04-01,0.37
2001-05-01,2.83
2001-06-01,1.81
2001-07-01,9.01
2001-08-01,9.89
2001-09-01,7.35
2001-10-01,3.96
2001-11-01,1.02
2001-12-01,0.04
2002-01-01,0.00
2002-02-01,0.00
2002-03-01,0.05
2002-04-01,0.14
2002-05-01,1.21
2002-06-01,16.50
2002-07-01,14.47
2002-08-01,13.88
2002-09-01,8.52
2002-10-01,5.45
2002-11-01,2.99
2002-12-01,0.68
2003-01-01,0.12
2003-02-01,0.00
2003-03-01,0.03
2003-04-01,0.04
2003-05-01,3.74
2003-06-01,8.17
2003-07-01,9.20
2003-08-01,5.98
2003-09-01,3.97
2003-10-01,1.59
2003-11-01,0.32
2003-12-01,0.01
2004-01-01,0.01
2004-02-01,0.02
2004-03-01,0.05
2004-04-01,1.80
2004-05-01,1.39
2004-06-01,3.44
2004-07-01,7.18
2004-08-01,11.85
2004-09-01,4.03
2004-10-01,0.48
2004-11-01,0.42
2004-12-01,0.01
2005-01-01,0.07
2005-02-01,0.02
2005-03-01,0.05
2005-04-01,0.50
2005-05-01,5.53
2005-06-01,5.39
2005-07-01,7.09
2005-08-01,8.29
2005-09-01,9.02
2005-10-01,4.93
2005-11-01,2.79
2005-12-01,0.54
2006-01-01,0.01
2006-02-01,0.05
2006-03-01,0.00
2006-04-01,0.00
2006-05-01,0.26
2006-06-01,5.26
2006-07-01,12.88
2006-08-01,8.87
2006-09-01,5.63
2006-10-01,4.07
2006-11-01,1.03
2006-12-01,0.03
2007-01-01,0.02
2007-02-01,0.03
2007-03-01,0.04
2007-04-01,0.01
2007-05-01,0.78
2007-06-01,10.65
2007-07-01,11.85
2007-08-01,11.51
2007-09-01,6.02
2007-10-01,2.34
2007-11-01,0.21
2007-12-01,0.01
2008-01-01,0.01
2008-02-01,0.03
2008-03-01,0.05
2008-04-01,0.09
2008-05-01,3.16
2008-06-01,9.13
2008-07-01,8.84
2008-08-01,10.67
2008-09-01,7.86
2008-10-01,4.26
2008-11-01,1.01
2008-12-01,0.02
2009-01-01,0.02
2009-02-01,0.00
2009-03-01,0.05
2009-04-01,0.01
2009-05-01,0.07
2009-06-01,2.27
2009-07-01,13.62
2009-08-01,11.35
2009-09-01,7.18
2009-10-01,3.96
2009-11-01,1.03
2009-12-01,0.04
2010-01-01,0.00
2010-02-01,0.00
2010-03-01,0.01
2010-04-01,0.01
2010-05-01,0.74
2010-06-01,7.79
2010-07-01,11.62
2010-08-01,6.75
2010-09-01,3.59
2010-10-01,0.80
2010-11-01,0.50
2010-12-01,0.00
2011-01-01,0.01
2011-02-01,0.02
2011-03-01,0.02
2011-04-01,0.00
2011-05-01,0.04
2011-06-01,8.90
2011-07-01,14.56
2011-08-01,11.33
2011-09-01,6.01
2011-10-01,2.00
2011-11-01,0.10
2011-12-01,0.02
2012-01-01,0.02
2012-02-01,0.02
2012-03-01,0.00
2012-04-01,0.33
