Year,Month,SCA
2000,1,0
2000,2,0.13
2000,3,0.64
2000,4,0.99
2000,5,7.92
2000,6,27.43
2000,7,51.65
2000,8,15.34
2000,9,20.13
2000,10,13.46
2000,11,4.99
2000,12,0.75
2001,1,0.50
2001,2,0.45
2001,3,1.90
2001,4,2.30
2001,5,9.92
2001,6,17.81
2001,7,56.18
2001,8,28.58
2001,9,18.22
2001,10,7.14
2001,11,1.53
2001,12,1.43
2002,1,0.81
2002,2,0.68
2002,3,1.94
2002,4,4.19
2002,5,23.67
2002,6,58.86
2002,7,39.36
2002,8,27.18
2002,9,11.10
2002,10,7.75
2002,11,10.10
2002,12,3.30
2003,1,2.34
2003,2,1.39
2003,3,1.17
2003,4,3.48
2003,5,7.45
2003,6,36.93
2003,7,34.84
2003,8,29.33
2003,9,10.61
2003,10,11.14
2003,11,4.41
2003,12,2.70
2004,1,2.28
2004,2,1.37
2004,3,1.29
2004,4,11.95
2004,5,9.23
2004,6,31.77
2004,7,57.11
2004,8,24.94
2004,9,16.09
2004,10,4.56
2004,11,3.86
2004,12,1.74
2005,1,1.24
2005,2,1.02
2005,3,2.09
2005,4,7.02
2005,5,27.94
2005,6,55.57
2005,7,74.10
2005,8,62.69
2005,9,40.24
2005,10,13.32
2005,11,3.95
2005,12,3.26
2006,1,1.69
2006,2,1.21
2006,3,1.88
2006,4,3.92
2006,5,8.11
2006,6,41.22
2006,7,69.78
2006,8,60.05
2006,9,28.94
2006,10,11.17
2006,11,4.91
2006,12,1.82
2007,1,1.93
2007,2,1.32
2007,3,1.17
2007,4,4.98
2007,5,20.65
2007,6,64.58
2007,7,62.41
2007,8,44.83
2007,9,35.38
2007,10,15.38
2007,11,4.13
2007,12,2.56
2008,1,1.68
2008,2,0.91
2008,3,0.78
2008,4,6.33
2008,5,19.64
2008,6,45.01
2008,7,46.70
2008,8,62.04
2008,9,32.79
2008,10,10.36
2008,11,3.55
2008,12,2.06
2009,1,0.79
2009,2,0.63
2009,3,1.11
2009,4,2.17
2009,5,21.07
2009,6,39.85
2009,7,42.34
2009,8,33.02
2009,9,21.15
2009,10,11.52
2009,11,3.85
2009,12,3.05
2010,1,3.17
2010,2,1.80
2010,3,1.53
2010,4,4.43
2010,5,17.90
2010,6,35.67
2010,7,80.73
2010,8,61.30
2010,9,35.55
2010,10,14.74
2010,11,3.67
2010,12,2.82
2011,1,1.55
2011,2,1.12
2011,3,1.90
2011,4,4.23
2011,5,16.91
2011,6,32.17
2011,7,51.96
2011,8,39.01
2011,9,26.31
2011,10,12.07
2011,11,3.81
2011,12,2.25
2012,1,0.91
2012,2,0.90
2012,3,0.75
2012,4,2.79
2012,5,20.65
2012,6,43.27
2012,7,58.61
2012,8,43.41
2012,9,24.16
2012,10,10.39
2012,11,3.88
2012,12,1.27
2013,1,1.66
2013,2,0.66
2013,3,0.80
2013,4,2.35
2013,5,19.60
2013,6,28.19
2013,7,49.19
2013,8,54.65
2013,9,32.57
2013,10,9.52
2013,11,2.90
2013,12,1.56
2014,1,1.11
2014,2,0.76
2014,3,1.57
2014,4,5.38
2014,5,18.26
2014,6,43.09
2014,7,33.38
2014,8,23.28
2014,9,13.01
2014,10,6.17
2014,11,5.46
2014,12,2.39
2015,1,1.16
2015,2,0.87
2015,3,0.99
2015,4,4.94
2015,5,16.96
2015,6,33.81
2015,7,40.72
2015,8,28.98
2015,9,20.30
2015,10,11.27
2015,11,3.21
2015,12,1.68
2016,1,1.03
2016,2,0.71
2016,3,0.59
2016,4,4.37
2016,5,4.92
2016,6,13.32
2016,7,25.78
2016,8,25.73
2016,9,16.52
2016,10,5.42
2016,11,1.97
2016,12,0.60
2017,1,0.58
2017,2,0.45
2017,3,0.58
2017,4,1.67
2017,5,15.55
2017,6,66.41
2017,7,57.35
2017,8,36.98
2017,9,30.06
2017,10,10.64
2017,11,6.27
2017,12,2.55
2018,1,1.28
2018,2,0.71
2018,3,2.61
2018,4,11.95
2018,5,17.34
2018,6,43.75
2018,7,66.02
2018,8,32.17
2018,9,16.73
2018,10,11.04
2018,11,3.83
2018,12,1.89
2019,1,1.49
2019,2,1.03
2019,3,0.77
2019,4,3.27
2019,5,13.24
2019,6,55.50
2019,7,57.66
2019,8,33.73
2019,9,21.61
2019,10,11.01
2019,11,3.23
2019,12,1.77
2020,1,1.07
2020,2,0.90
2020,3,0.91
2020,4,4.21
2020,5,19.58
2020,6,38.53
2020,7,68.45
2020,8,47.06
2020,9,28.86
2020,10,12.67
2020,11,3.96
2020,12,1.97
2021,1,1.10
2021,2,0.77
2021,3,0.64
2021,4,3.33
2021,5,11.41
2021,6,32.62
2021,7,30.62
2021,8,27.22
2021,9,14.36
2021,10,4.68
2021,11,2.27
2021,12,1.13
2022,1,0.74
2022,2,0.47
2022,3,1.79
2022,4,4.44
2022,5,22.94
2022,6,44.64
2022,7,69.30
2022,8,46.40
2022,9,22.41
2022,10,10.55
2022,11,3.06
2022,12,1.25
2023,1,0.65
2023,2,0.67
2023,3,1.16
2023,4,2.25
2023,5,20.22
2023,6,44.61
2023,7,70.34
2023,8,34.06
2023,9,28.14
2023,10,16.18
2023,11,8.03
2023,12,3.24
