group,variable,value
2000-02-01,100,0.0
2000-02-01,200,0.0
2000-02-01,300,0.0
2000-02-01,400,0.0
2000-02-01,500,0.0
2000-02-01,600,0.0
2000-02-01,700,0.0
2000-02-01,800,0.0
2000-02-01,900,0.0
2000-02-01,1000,0.0
2000-02-01,1100,0.0
2000-02-01,1200,0.0
2000-02-01,1300,0.0
2000-02-01,1400,0.0
2000-02-01,1500,0.0
2000-02-01,1600,0.0
2000-02-01,1700,0.0
2000-02-01,1800,0.0
2000-02-01,1900,0.0
2000-02-01,2000,0.0018645507468561591
2000-02-01,2100,0.010517444330679578
2000-02-01,2200,0.059137089766726735
2000-02-01,2300,0.28643034329330863
2000-02-01,2400,0.4367782420327172
2000-02-01,2500,0.8987234982467655
2000-02-01,2600,1.8797407742273156
2000-02-01,2700,3.682723230967954
2000-02-01,2800,6.6456136948626545
2000-02-01,2900,9.44811532858094
2000-02-01,3000,12.783291253156007
2000-02-01,3100,16.45964190017465
2000-02-01,3200,20.118518783944957
2000-02-01,3300,24.109026602316263
2000-02-01,3400,27.711744901749707
2000-02-01,3500,30.015200285224967
2000-02-01,3600,33.2310328345422
2000-02-01,3700,35.716199770998294
2000-02-01,3800,39.66025212229319
2000-02-01,3900,42.96401463927326
2000-02-01,4000,45.597222618034635
2000-02-01,4100,50.13704505704997
2000-02-01,4200,52.75176685356624
2000-02-01,4300,56.822509379452654
2000-02-01,4400,59.23659601564616
2000-02-01,4500,64.94282660466152
2000-02-01,4600,67.01055867262384
2000-02-01,4700,71.94025744573442
2000-02-01,4800,68.85077794573456
2000-02-01,4900,71.67661988653323
2000-02-01,5000,78.70132881709222
2000-02-01,5100,78.33272520636429
2000-02-01,5200,82.67033443883078
2000-02-01,5300,85.40890245740991
2000-02-01,5400,85.87110078695365
2000-02-01,5500,86.82344248729162
2000-02-01,5600,89.83089264061192
2000-02-01,5700,90.7800494996234
2000-02-01,5800,88.16791845493563
2000-02-01,5900,89.8773664877084
2000-02-01,6000,97.77009345794394
2000-02-01,6100,100.0
2000-02-01,6200,92.61030126336249
2000-02-01,6300,57.12162162162162
2000-02-01,6400,95.88753799392096
2000-02-01,6500,83.54262516914748
2000-03-01,100,0.0
2000-03-01,200,0.0
2000-03-01,300,0.0
2000-03-01,400,0.0
2000-03-01,500,0.0
2000-03-01,600,0.0
2000-03-01,700,0.0
2000-03-01,800,0.0
2000-03-01,900,0.0
2000-03-01,1000,0.0
2000-03-01,1100,0.0
2000-03-01,1200,0.0
2000-03-01,1300,0.0
2000-03-01,1400,0.0
2000-03-01,1500,0.0
2000-03-01,1600,0.0
2000-03-01,1700,0.0
2000-03-01,1800,0.0
2000-03-01,1900,0.0
2000-03-01,2000,0.0
2000-03-01,2100,0.0
2000-03-01,2200,0.0
2000-03-01,2300,0.0
2000-03-01,2400,0.0
2000-03-01,2500,0.0
2000-03-01,2600,0.0
2000-03-01,2700,0.004816675052447909
2000-03-01,2800,0.03260639610733046
2000-03-01,2900,0.06549135755097636
2000-03-01,3000,0.09918700541903797
2000-03-01,3100,0.22418394246102763
2000-03-01,3200,0.30148244460028767
2000-03-01,3300,0.44145923606634024
2000-03-01,3400,1.1267309600274638
2000-03-01,3500,1.3401358836201458
2000-03-01,3600,2.2194593832194127
2000-03-01,3700,3.404844404745486
2000-03-01,3800,5.382649384559197
2000-03-01,3900,8.172952949594453
2000-03-01,4000,12.40233361967535
2000-03-01,4100,17.7347693012409
2000-03-01,4200,22.378784717694586
2000-03-01,4300,29.58920611265795
2000-03-01,4400,37.22129536978067
2000-03-01,4500,44.95601830148697
2000-03-01,4600,49.78048473906131
2000-03-01,4700,59.101022211004434
2000-03-01,4800,57.56224329317631
2000-03-01,4900,63.35152284263951
2000-03-01,5000,74.73699843668568
2000-03-01,5100,75.01259121904526
2000-03-01,5200,81.09608529894916
2000-03-01,5300,88.60802050354285
2000-03-01,5400,88.62178818621402
2000-03-01,5500,93.15864759427822
2000-03-01,5600,95.73388676429441
2000-03-01,5700,92.10814591628109
2000-03-01,5800,87.78201001430615
2000-03-01,5900,84.48714326080812
2000-03-01,6000,94.43271028037385
2000-03-01,6100,99.22162162162162
2000-03-01,6200,87.63945578231292
