Year,Month,SCA
2000,1,0
2000,2,0.04
2000,3,0.74
2000,4,1.58
2000,5,8.17
2000,6,20.36
2000,7,24.79
2000,8,11.82
2000,9,5.60
2000,10,2.64
2000,11,1.73
2000,12,0.35
2001,1,0.61
2001,2,0.91
2001,3,1.50
2001,4,2.66
2001,5,7.12
2001,6,13.15
2001,7,20.68
2001,8,15.52
2001,9,7.37
2001,10,2.19
2001,11,0.59
2001,12,1.15
2002,1,0.88
2002,2,0.93
2002,3,1.41
2002,4,2.95
2002,5,10.59
2002,6,29.73
2002,7,29.45
2002,8,18.68
2002,9,6.80
2002,10,5.11
2002,11,3.20
2002,12,1.52
2003,1,1.42
2003,2,0.85
2003,3,1.27
2003,4,3.33
2003,5,9.80
2003,6,32.24
2003,7,31.95
2003,8,18.89
2003,9,8.43
2003,10,6.86
2003,11,2.34
2003,12,1.29
2004,1,1.31
2004,2,1.35
2004,3,1.54
2004,4,8.55
2004,5,9.33
2004,6,29.36
2004,7,31.80
2004,8,18.69
2004,9,16.74
2004,10,3.40
2004,11,1.80
2004,12,1.18
2005,1,1.04
2005,2,1.29
2005,3,2.41
2005,4,5.22
2005,5,23.87
2005,6,39.36
2005,7,55.29
2005,8,49.60
2005,9,35.22
2005,10,15.16
2005,11,2.43
2005,12,1.90
2006,1,1.45
2006,2,1.52
2006,3,2.08
2006,4,3.83
2006,5,9.32
2006,6,32.59
2006,7,53.05
2006,8,50.04
2006,9,32.70
2006,10,13.55
2006,11,2.73
2006,12,1.45
2007,1,1.15
2007,2,1.62
2007,3,1.49
2007,4,4.30
2007,5,19.24
2007,6,58.00
2007,7,57.69
2007,8,49.55
2007,9,32.36
2007,10,20.22
2007,11,2.96
2007,12,1.81
2008,1,1.49
2008,2,1.28
2008,3,1.25
2008,4,7.36
2008,5,23.09
2008,6,39.64
2008,7,40.86
2008,8,45.18
2008,9,31.36
2008,10,11.67
2008,11,2.37
2008,12,1.55
2009,1,1.04
2009,2,0.95
2009,3,1.60
2009,4,2.55
2009,5,23.10
2009,6,33.31
2009,7,41.47
2009,8,29.62
2009,9,22.12
2009,10,14.21
2009,11,3.42
2009,12,1.51
2010,1,1.49
2010,2,1.50
2010,3,1.52
2010,4,4.21
2010,5,20.19
2010,6,31.18
2010,7,58.29
2010,8,47.13
2010,9,28.29
2010,10,16.95
2010,11,2.37
2010,12,1.92
2011,1,1.21
2011,2,1.31
2011,3,1.77
2011,4,4.97
2011,5,14.01
2011,6,35.66
2011,7,49.68
2011,8,41.01
2011,9,30.34
2011,10,15.63
2011,11,1.94
2011,12,1.54
2012,1,1.16
2012,2,0.80
2012,3,1.30
2012,4,3.72
2012,5,20.36
2012,6,37.82
2012,7,52.43
2012,8,37.54
2012,9,23.94
2012,10,13.96
2012,11,1.98
2012,12,1.34
2013,1,1.45
2013,2,0.94
2013,3,1.28
2013,4,2.62
2013,5,19.19
2013,6,28.83
2013,7,47.82
2013,8,43.62
2013,9,24.61
2013,10,12.17
2013,11,1.79
2013,12,0.92
2014,1,1.01
2014,2,1.02
2014,3,1.87
2014,4,5.02
2014,5,17.10
2014,6,41.55
2014,7,37.08
2014,8,19.46
2014,9,8.80
2014,10,5.84
2014,11,5.16
2014,12,1.23
2015,1,1.15
2015,2,1.14
2015,3,1.14
2015,4,3.45
2015,5,15.31
2015,6,37.27
2015,7,44.08
2015,8,39.25
2015,9,24.79
2015,10,15.21
2015,11,1.58
2015,12,1.12
2016,1,1.42
2016,2,0.94
2016,3,1.12
2016,4,3.93
2016,5,6.78
2016,6,17.95
2016,7,25.96
2016,8,19.38
2016,9,17.34
2016,10,4.72
2016,11,1.40
2016,12,0.79
2017,1,0.59
2017,2,0.82
2017,3,1.02
2017,4,1.95
2017,5,19.00
2017,6,53.08
2017,7,48.56
2017,8,27.89
2017,9,32.29
2017,10,11.27
2017,11,3.38
2017,12,1.25
2018,1,1.11
2018,2,0.99
2018,3,2.46
2018,4,10.18
2018,5,17.40
2018,6,41.54
2018,7,55.73
2018,8,38.03
2018,9,12.73
2018,10,12.51
2018,11,3.63
2018,12,1.49
2019,1,1.47
2019,2,1.39
2019,3,1.17
2019,4,3.68
2019,5,14.44
2019,6,48.92
2019,7,52.03
2019,8,37.16
2019,9,24.34
2019,10,13.30
2019,11,2.17
2019,12,1.10
2020,1,1.27
2020,2,1.13
2020,3,1.45
2020,4,4.72
2020,5,19.61
2020,6,36.75
2020,7,53.72
2020,8,37.75
2020,9,31.45
2020,10,16.95
2020,11,1.76
2020,12,1.33
2021,1,1.09
2021,2,1.28
2021,3,1.01
2021,4,3.79
2021,5,12.82
2021,6,34.81
2021,7,34.53
2021,8,25.54
2021,9,18.93
2021,10,3.76
2021,11,1.48
2021,12,1.31
2022,1,1.25
2022,2,0.86
2022,3,1.85
2022,4,5.02
2022,5,24.61
2022,6,54.07
2022,7,54.59
2022,8,48.52
2022,9,24.43
2022,10,13.63
2022,11,2.04
2022,12,1.32
2023,1,1.05
2023,2,1.07
2023,3,1.74
2023,4,3.05
2023,5,23.82
2023,6,48.00
2023,7,60.28
2023,8,36.36
2023,9,30.65
2023,10,18.43
2023,11,6.44
2023,12,2.00
