Year,SCA,CCA
2000-02-01,0.50,2.45
2000-03-01,0.39,2.59
2000-04-01,0.41,16.24
2000-05-01,6.09,9.34
2000-06-01,11.55,8.91
2000-07-01,3.92,5.14
2000-08-01,1.19,7.16
2000-09-01,0.72,1.65
2000-10-01,0.48,3.94
2000-11-01,0.47,0.02
2000-12-01,0.34,0.44
2001-01-01,1.14,5.75
2001-02-01,1.11,5.97
2001-03-01,2.08,1.48
2001-04-01,0.93,0.16
2001-05-01,3.12,3.73
2001-06-01,0.83,0.13
2001-07-01,0.85,0.07
2001-08-01,1.16,0.30
2001-09-01,1.40,0.81
2001-10-01,0.73,0.08
2001-11-01,0.38,0.00
2001-12-01,0.66,3.49
2002-01-01,0.26,0.01
2002-02-01,0.54,4.13
2002-03-01,0.74,6.04
2002-04-01,1.35,0.48
2002-05-01,9.39,5.09
2002-06-01,6.24,3.89
2002-07-01,28.51,13.64
2002-08-01,7.57,0.06
2002-09-01,3.82,0.01
2002-10-01,1.37,3.08
2002-11-01,0.65,0.14
2002-12-01,0.50,2.19
2003-01-01,0.75,5.07
2003-02-01,0.92,0.04
2003-03-01,0.64,0.02
2003-04-01,0.44,0.00
2003-05-01,8.55,1.86
2003-06-01,4.56,0.01
2003-07-01,4.46,2.68
2003-08-01,4.69,0.43
2003-09-01,0.77,0.04
2003-10-01,0.58,0.00
2003-11-01,0.57,0.00
2003-12-01,0.43,2.91
2004-01-01,0.58,2.11
2004-02-01,0.74,1.26
2004-03-01,0.53,0.01
2004-04-01,0.57,0.01
2004-05-01,0.53,0.02
2004-06-01,0.53,0.18
2004-07-01,7.47,2.84
2004-08-01,16.75,13.75
2004-09-01,2.09,0.00
2004-10-01,0.91,0.01
2004-11-01,0.59,0.00
2004-12-01,0.55,0.03
2005-01-01,0.92,0.96
2005-02-01,0.90,13.81
2005-03-01,0.70,0.02
2005-04-01,5.63,1.49
2005-05-01,8.30,0.29
2005-06-01,2.00,0.01
2005-07-01,0.86,0.01
2005-08-01,0.54,0.01
2005-09-01,22.01,6.15
2005-10-01,10.59,0.07
2005-11-01,1.40,1.39
2005-12-01,0.63,0.46
2006-01-01,1.61,0.85
2006-02-01,2.35,0.13
2006-03-01,0.84,0.03
2006-04-01,0.55,0.07
2006-05-01,3.07,0.55
2006-06-01,6.09,1.11
2006-07-01,1.09,0.08
2006-08-01,2.31,0.62
2006-09-01,3.71,0.13
2006-10-01,0.65,0.01
2006-11-01,0.58,0.02
2006-12-01,0.50,0.36
2007-01-01,0.73,1.61
2007-02-01,0.86,0.14
2007-03-01,0.48,0.30
2007-04-01,0.44,0.13
2007-05-01,0.91,0.44
2007-06-01,5.36,11.04
2007-07-01,10.93,4.19
2007-08-01,5.00,0.76
2007-09-01,1.38,0.42
2007-10-01,0.55,0.00
2007-11-01,0.48,0.78
2007-12-01,0.47,0.01
2008-01-01,1.13,4.10
2008-02-01,1.07,0.04
2008-03-01,0.53,0.00
2008-04-01,0.88,0.00
2008-05-01,0.50,0.01
2008-06-01,6.57,3.21
2008-07-01,3.07,0.00
2008-08-01,0.65,0.01
2008-09-01,0.67,0.03
2008-10-01,0.60,0.00
2008-11-01,0.55,0.00
2008-12-01,0.44,0.32
2009-01-01,0.75,0.02
2009-02-01,0.58,0.26
2009-03-01,1.95,0.45
2009-04-01,0.90,0.00
2009-05-01,0.49,0.17
2009-06-01,0.51,0.01
2009-07-01,8.97,8.85
2009-08-01,2.45,0.03
2009-09-01,0.62,0.46
2009-10-01,0.51,0.10
2009-11-01,0.56,0.01
2009-12-01,0.44,0.47
2010-01-01,0.59,0.33
2010-02-01,0.60,0.35
2010-03-01,0.47,0.00
2010-04-01,0.47,3.37
2010-05-01,9.44,7.62
2010-06-01,1.22,0.03
2010-07-01,0.50,0.01
2010-08-01,0.45,0.03
2010-09-01,0.44,0.08
2010-10-01,0.72,0.10
2010-11-01,0.42,0.00
2010-12-01,0.40,0.00
2011-01-01,0.50,2.63
2011-02-01,1.68,2.86
2011-03-01,1.07,0.25
2011-04-01,1.00,0.16
2011-05-01,0.76,0.10
2011-06-01,14.30,9.06
2011-07-01,44.64,13.37
2011-08-01,15.31,0.16
2011-09-01,6.42,0.00
2011-10-01,2.25,0.23
2011-11-01,0.71,0.00
2011-12-01,0.74,0.41
2012-01-01,1.76,1.32
2012-02-01,3.03,4.42
2012-03-01,2.03,0.12
2012-04-01,3.47,0.81
2012-05-01,1.54,0.01
2012-06-01,4.53,1.26
2012-07-01,9.94,3.33
2012-08-01,3.07,0.04
2012-09-01,0.93,0.01
2012-10-01,0.78,0.78
2012-11-01,0.48,0.05
2012-12-01,0.64,0.05
2013-01-01,0.96,8.50
2013-02-01,1.70,0.90
2013-03-01,0.45,0.00
2013-04-01,0.43,0.00
2013-05-01,11.08,4.02
2013-06-01,30.08,19.27
2013-07-01,17.74,6.84
2013-08-01,11.05,3.09
2013-09-01,11.71,0.53
2013-10-01,3.20,0.01
2013-11-01,0.64,0.00
2013-12-01,0.59,0.06
2014-01-01,1.51,0.94
2014-02-01,0.63,0.04
2014-03-01,0.51,0.01
2014-04-01,0.66,0.06
2014-05-01,6.25,5.24
2014-06-01,5.61,1.34
2014-07-01,1.44,0.13
2014-08-01,1.14,0.29
2014-09-01,2.38,0.61
2014-10-01,0.64,0.31
2014-11-01,0.59,0.12
2014-12-01,0.46,0.04
2015-01-01,0.71,0.47
2015-02-01,1.13,0.45
2015-03-01,5.31,1.31
2015-04-01,7.48,0.10
2015-05-01,7.35,2.22
2015-06-01,5.64,0.37
2015-07-01,4.36,2.70
2015-08-01,5.52,0.92
2015-09-01,2.14,0.02
2015-10-01,2.98,1.43
2015-11-01,1.74,0.01
2015-12-01,0.89,4.17
2016-01-01,0.68,0.02
2016-02-01,0.69,10.80
2016-03-01,0.55,0.00
2016-04-01,1.99,0.73
2016-05-01,1.66,1.40
2016-06-01,0.62,0.12
2016-07-01,7.69,7.47
2016-08-01,0.81,0.06
2016-09-01,0.57,0.00
2016-10-01,0.55,0.01
2016-11-01,0.48,0.11
2016-12-01,0.48,0.06
2017-01-01,1.42,0.70
2017-02-01,1.37,12.96
2017-03-01,1.59,0.04
2017-04-01,3.49,0.52
2017-05-01,10.47,12.66
2017-06-01,48.23,13.97
2017-07-01,25.79,0.06
2017-08-01,12.09,0.11
2017-09-01,5.33,0.04
2017-10-01,2.20,0.01
2017-11-01,0.94,0.00
2017-12-01,0.63,0.72
2018-01-01,0.93,2.59
2018-02-01,2.36,3.21
2018-03-01,1.27,0.06
2018-04-01,0.80,0.00
2018-05-01,0.71,0.06
2018-06-01,9.63,3.64
2018-07-01,14.95,5.86
2018-08-01,17.09,1.41
2018-09-01,4.92,0.00
2018-10-01,1.52,0.97
2018-11-01,0.65,0.00
2018-12-01,0.61,1.16
2019-01-01,0.64,3.68
2019-02-01,3.27,12.54
2019-03-01,0.99,0.00
2019-04-01,1.22,0.06
2019-05-01,1.09,1.01
2019-06-01,7.01,3.02
2019-07-01,4.73,1.81
2019-08-01,0.96,0.00
2019-09-01,6.69,1.48
2019-10-01,0.81,0.21
2019-11-01,0.64,0.80
2019-12-01,0.66,1.59
2020-01-01,1.09,2.93
2020-02-01,0.78,0.44
2020-03-01,1.31,1.15
2020-04-01,0.68,0.02
2020-05-01,0.61,0.35
2020-06-01,1.34,0.23
2020-07-01,0.61,0.01
2020-08-01,8.81,5.61
2020-09-01,17.16,0.69
2020-10-01,3.25,0.12
2020-11-01,0.72,0.00
2020-12-01,0.66,0.20
2021-01-01,0.86,2.95
2021-02-01,0.71,0.01
2021-03-01,0.91,0.02
2021-04-01,0.53,0.00
2021-05-01,9.74,6.22
2021-06-01,22.13,4.43
2021-07-01,6.87,3.24
2021-08-01,7.46,1.27
2021-09-01,0.71,0.04
2021-10-01,0.75,0.39
2021-11-01,0.56,0.00
2021-12-01,1.05,11.05
2022-01-01,1.31,0.98
2022-02-01,0.69,0.13
2022-03-01,1.03,0.11
2022-04-01,0.36,1.06
2022-05-01,0.75,0.00
2022-06-01,9.88,1.94
2022-07-01,5.35,2.24
2022-08-01,1.60,0.02
2022-09-01,0.74,0.03
2022-10-01,0.55,0.01
2022-11-01,0.56,0.01
2022-12-01,0.99,0.25
2023-01-01,0.73,0.16
2023-02-01,3.24,1.63
2023-03-01,1.35,0.54
2023-04-01,1.12,0.01
2023-05-01,0.67,0.18
2023-06-01,0.60,0.03
2023-07-01,0.58,0.02
2023-08-01,0.55,3.34
2023-09-01,0.63,0.00
2023-10-01,0.51,0.04
2023-11-01,0.54,0.10
2023-12-01,0.43,0.17
2024-01-01,0.69,0.01
2024-02-01,1.04,2.04
2024-03-01,1.09,0.38
2024-04-01,3.60,0.95
