Year,Elevation,SCA
2000-02-01,100,0.01
2000-02-01,200,0.08
2000-02-01,300,0.04
2000-02-01,400,0.16
2000-02-01,500,0.00
2000-02-01,600,0.01
2000-02-01,700,0.37
2000-02-01,800,0.25
2000-02-01,900,0.19
2000-02-01,1000,0.00
2000-02-01,1100,0.04
2000-02-01,1200,0.28
2000-02-01,1300,0.29
2000-02-01,1400,1.16
2000-02-01,1500,0.22
2000-02-01,1600,1.24
2000-02-01,1700,1.76
2000-02-01,1800,0.72
2000-02-01,1900,0.17
2000-02-01,2000,15.21
2000-03-01,100,0.01
2000-03-01,200,0.01
2000-03-01,300,0.00
2000-03-01,400,0.02
2000-03-01,500,0.05
2000-03-01,600,0.07
2000-03-01,700,0.09
2000-03-01,800,0.22
2000-03-01,900,0.28
2000-03-01,1000,0.54
2000-03-01,1100,1.68
2000-03-01,1200,4.68
2000-03-01,1300,8.51
2000-03-01,1400,16.87
2000-03-01,1500,30.23
2000-03-01,1600,33.11
2000-03-01,1700,42.36
2000-03-01,1800,42.16
2000-03-01,1900,18.66
2000-03-01,2000,1.97
2000-04-01,100,0.56
2000-04-01,200,0.68
2000-04-01,300,0.54
2000-04-01,400,0.70
2000-04-01,500,0.63
2000-04-01,600,0.61
2000-04-01,700,0.46
2000-04-01,800,0.67
2000-04-01,900,0.74
2000-04-01,1000,1.65
2000-04-01,1100,2.39
2000-04-01,1200,7.96
2000-04-01,1300,11.63
2000-04-01,1400,20.98
2000-04-01,1500,27.27
2000-04-01,1600,33.17
2000-04-01,1700,31.08
2000-04-01,1800,46.30
2000-04-01,1900,20.03
2000-04-01,2000,0.00
2000-05-01,100,2.14
2000-05-01,200,5.60
2000-05-01,300,7.12
2000-05-01,400,7.88
2000-05-01,500,8.01
2000-05-01,600,8.34
2000-05-01,700,7.63
2000-05-01,800,10.47
2000-05-01,900,11.16
2000-05-01,1000,15.82
2000-05-01,1100,19.57
2000-05-01,1200,24.90
2000-05-01,1300,30.06
2000-05-01,1400,30.95
2000-05-01,1500,37.03
2000-05-01,1600,42.06
2000-05-01,1700,44.93
2000-05-01,1800,47.73
2000-05-01,1900,20.09
2000-05-01,2000,0.00
2000-06-01,100,10.21
2000-06-01,200,15.00
2000-06-01,300,16.99
2000-06-01,400,17.09
2000-06-01,500,18.00
2000-06-01,600,17.17
2000-06-01,700,17.72
2000-06-01,800,23.47
2000-06-01,900,22.54
2000-06-01,1000,29.79
2000-06-01,1100,34.30
2000-06-01,1200,37.78
2000-06-01,1300,32.76
2000-06-01,1400,31.15
2000-06-01,1500,27.89
2000-06-01,1600,26.13
2000-06-01,1700,26.62
2000-06-01,1800,39.24
2000-06-01,1900,10.62
2000-06-01,2000,0.00
2000-07-01,100,7.33
2000-07-01,200,13.75
2000-07-01,300,17.29
2000-07-01,400,19.19
2000-07-01,500,21.99
2000-07-01,600,23.99
2000-07-01,700,26.60
2000-07-01,800,36.27
2000-07-01,900,40.39
2000-07-01,1000,46.36
2000-07-01,1100,44.37
2000-07-01,1200,33.79
2000-07-01,1300,29.47
2000-07-01,1400,28.83
2000-07-01,1500,20.01
2000-07-01,1600,19.02
2000-07-01,1700,19.33
2000-07-01,1800,22.17
2000-07-01,1900,12.66
2000-07-01,2000,0.00
2000-08-01,100,1.98
2000-08-01,200,6.69
2000-08-01,300,8.81
2000-08-01,400,11.28
2000-08-01,500,14.95
2000-08-01,600,19.42
2000-08-01,700,20.47
2000-08-01,800,27.04
2000-08-01,900,28.82
2000-08-01,1000,35.01
2000-08-01,1100,30.73
2000-08-01,1200,20.94
2000-08-01,1300,17.68
2000-08-01,1400,14.02
2000-08-01,1500,10.85
