Year,SCA
2000-02-01,0.31
2000-03-01,0.15
2000-04-01,0.15
2000-05-01,1.50
2000-06-01,6.31
2000-07-01,6.68
2000-08-01,4.13
2000-09-01,4.64
2000-10-01,2.49
2000-11-01,1.62
2000-12-01,1.42
2001-01-01,0.81
2001-02-01,0.20
2001-03-01,0.08
2001-04-01,0.49
2001-05-01,1.69
2001-06-01,3.42
2001-07-01,6.15
2001-08-01,5.58
2001-09-01,4.15
2001-10-01,1.51
2001-11-01,1.31
2001-12-01,0.80
2002-01-01,0.19
2002-02-01,0.11
2002-03-01,0.15
2002-04-01,0.64
2002-05-01,2.52
2002-06-01,10.34
2002-07-01,9.06
2002-08-01,6.67
2002-09-01,5.59
2002-10-01,3.51
2002-11-01,2.05
2002-12-01,1.74
2003-01-01,1.06
2003-02-01,0.40
2003-03-01,0.19
2003-04-01,0.86
2003-05-01,1.52
2003-06-01,8.16
2003-07-01,8.28
2003-08-01,6.74
2003-09-01,3.89
2003-10-01,2.37
2003-11-01,1.69
2003-12-01,1.51
2004-01-01,0.48
2004-02-01,0.16
2004-03-01,0.15
2004-04-01,0.98
2004-05-01,0.79
2004-06-01,7.68
2004-07-01,9.84
2004-08-01,4.85
2004-09-01,5.22
2004-10-01,1.78
2004-11-01,1.77
2004-12-01,0.88
2005-01-01,0.32
2005-02-01,0.15
2005-03-01,0.27
2005-04-01,0.58
2005-05-01,6.13
2005-06-01,18.09
2005-07-01,10.13
2005-08-01,10.00
2005-09-01,5.48
2005-10-01,2.06
2005-11-01,1.81
2005-12-01,1.81
2006-01-01,0.79
2006-02-01,0.35
2006-03-01,0.30
2006-04-01,0.46
2006-05-01,1.88
2006-06-01,8.10
2006-07-01,10.58
2006-08-01,8.17
2006-09-01,5.79
2006-10-01,2.81
2006-11-01,1.92
2006-12-01,1.48
2007-01-01,0.59
2007-02-01,0.29
2007-03-01,0.17
2007-04-01,1.04
2007-05-01,3.01
2007-06-01,11.13
2007-07-01,15.68
2007-08-01,12.52
2007-09-01,6.63
2007-10-01,3.65
2007-11-01,1.42
2007-12-01,2.25
2008-01-01,0.99
2008-02-01,0.22
2008-03-01,0.15
2008-04-01,1.32
2008-05-01,1.39
2008-06-01,7.80
2008-07-01,9.45
2008-08-01,10.72
2008-09-01,5.20
2008-10-01,1.77
2008-11-01,1.94
2008-12-01,0.74
2009-01-01,0.21
2009-02-01,0.14
2009-03-01,0.15
2009-04-01,0.31
2009-05-01,3.65
2009-06-01,3.86
2009-07-01,9.30
