Year,Month,SCA
2000,1,0
2000,2,1.22
2000,3,1.50
2000,4,0.84
2000,5,0.65
2000,6,0.60
2000,7,1.62
2000,8,0.46
2000,9,0.37
2000,10,0.58
2000,11,0.13
2000,12,0.36
2001,1,1.90
2001,2,2.41
2001,3,2.74
2001,4,2.03
2001,5,1.86
2001,6,1.68
2001,7,1.56
2001,8,2.39
2001,9,1.23
2001,10,1.00
2001,11,0.59
2001,12,0.68
2002,1,0.38
2002,2,1.64
2002,3,1.78
2002,4,0.89
2002,5,0.98
2002,6,0.73
2002,7,7.98
2002,8,0.82
2002,9,0.63
2002,10,0.76
2002,11,0.57
2002,12,0.40
2003,1,1.06
2003,2,0.91
2003,3,1.54
2003,4,0.87
2003,5,1.29
2003,6,0.55
2003,7,4.27
2003,8,0.56
2003,9,0.34
2003,10,0.28
2003,11,0.26
2003,12,0.36
2004,1,2.02
2004,2,2.01
2004,3,1.30
2004,4,0.90
2004,5,0.66
2004,6,0.48
2004,7,7.88
2004,8,3.85
2004,9,0.87
2004,10,0.40
2004,11,0.23
2004,12,0.50
2005,1,1.26
2005,2,3.36
2005,3,1.42
2005,4,1.08
2005,5,0.85
2005,6,0.64
2005,7,0.96
2005,8,0.43
2005,9,4.90
2005,10,0.38
2005,11,0.20
2005,12,0.67
2006,1,1.89
2006,2,2.08
2006,3,2.22
2006,4,1.49
2006,5,1.19
2006,6,0.90
2006,7,0.75
2006,8,0.65
2006,9,0.53
2006,10,0.38
2006,11,0.36
2006,12,0.41
2007,1,1.19
2007,2,1.06
2007,3,1.62
2007,4,0.85
2007,5,0.60
2007,6,0.48
2007,7,0.37
2007,8,0.32
2007,9,0.29
2007,10,0.18
2007,11,0.33
2007,12,0.47
2008,1,2.79
2008,2,1.60
2008,3,1.53
2008,4,0.73
2008,5,0.51
2008,6,0.40
2008,7,0.37
2008,8,0.77
2008,9,0.28
2008,10,0.20
2008,11,0.13
2008,12,0.44
2009,1,0.76
2009,2,1.00
2009,3,1.33
2009,4,1.09
2009,5,0.52
2009,6,0.33
2009,7,0.37
2009,8,0.26
2009,9,0.22
2009,10,0.16
2009,11,0.34
2009,12,0.23
2010,1,0.51
2010,2,0.68
2010,3,0.87
2010,4,0.46
2010,5,1.38
2010,6,0.27
2010,7,0.21
2010,8,0.17
2010,9,0.14
2010,10,0.10
2010,11,0.07
2010,12,0.50
2011,1,0.83
2011,2,3.31
2011,3,2.00
2011,4,1.46
2011,5,3.20
2011,6,0.93
2011,7,16.40
2011,8,1.48
2011,9,0.75
2011,10,0.34
2011,11,0.31
2011,12,0.69
2012,1,2.96
2012,2,3.21
2012,3,2.93
2012,4,2.90
2012,5,1.82
2012,6,1.49
2012,7,1.32
2012,8,1.19
2012,9,0.93
2012,10,0.59
2012,11,0.42
2012,12,1.26
2013,1,1.73
2013,2,1.34
2013,3,1.28
2013,4,0.80
2013,5,1.37
2013,6,6.31
2013,7,2.66
2013,8,0.69
2013,9,0.42
2013,10,0.32
2013,11,0.22
2013,12,0.91
2014,1,1.89
2014,2,0.63
2014,3,0.46
2014,4,0.76
2014,5,0.55
2014,6,0.22
2014,7,0.23
2014,8,0.41
2014,9,0.24
2014,10,0.39
2014,11,0.23
2014,12,0.16
2015,1,0.92
2015,2,1.60
2015,3,1.57
2015,4,1.70
2015,5,1.54
2015,6,0.92
2015,7,0.75
2015,8,0.61
2015,9,0.37
2015,10,0.22
2015,11,0.11
2015,12,0.07
2016,1,0.17
2016,2,0.87
2016,3,0.67
2016,4,1.07
2016,5,0.38
2016,6,1.09
2016,7,4.85
2016,8,0.29
2016,9,0.32
2016,10,0.15
2016,11,0.09
2016,12,0.28
2017,1,1.41
2017,2,1.29
2017,3,1.74
2017,4,1.09
2017,5,1.20
2017,6,3.08
2017,7,0.63
2017,8,0.40
2017,9,0.36
2017,10,0.20
2017,11,0.15
2017,12,0.40
2018,1,1.38
2018,2,2.14
2018,3,1.36
2018,4,1.11
2018,5,0.81
2018,6,16.72
2018,7,10.96
2018,8,6.04
2018,9,0.75
2018,10,0.36
2018,11,0.22
2018,12,0.52
2019,1,1.37
2019,2,2.51
2019,3,1.24
2019,4,1.03
2019,5,0.72
2019,6,0.51
2019,7,1.93
2019,8,0.50
2019,9,0.60
2019,10,0.24
2019,11,0.42
2019,12,0.37
2020,1,1.35
2020,2,1.75
2020,3,1.88
2020,4,1.34
2020,5,0.96
2020,6,0.82
2020,7,0.65
2020,8,0.64
2020,9,0.45
2020,10,0.79
2020,11,0.34
2020,12,0.59
2021,1,1.27
2021,2,0.99
2021,3,1.96
2021,4,0.84
2021,5,0.78
2021,6,0.46
2021,7,0.55
2021,8,0.38
2021,9,0.28
2021,10,0.15
2021,11,0.17
2021,12,1.25
2022,1,2.60
2022,2,1.56
2022,3,1.93
2022,4,0.97
2022,5,1.03
2022,6,0.83
2022,7,0.59
2022,8,0.50
2022,9,0.38
2022,10,0.23
2022,11,0.49
2022,12,1.14
2023,1,0.72
2023,2,1.19
2023,3,1.59
2023,4,1.45
2023,5,0.70
2023,6,0.36
2023,7,0.27
2023,8,0.24
2023,9,0.19
2023,10,0.38
2023,11,0.41
2023,12,0.51
