Year,Snowline_elev
2000-02-01,1059.6711263776479
2000-03-01,816.7263370666243
2000-04-01,756.528066030352
2000-05-01,352.8607659250283
2000-06-01,313.24545222650164
2000-07-01,331.56864098066296
2000-08-01,443.51752024616513
2000-09-01,446.1308049072761
2000-10-01,633.7033206198049
2000-11-01,740.7676779226028
2000-12-01,729.6618031945275
2001-01-01,668.0220047346781
2001-02-01,660.1702687357945
2001-03-01,795.0667151956137
2001-04-01,668.0442598527652
2001-05-01,277.96738421104953
2001-06-01,450.78692711592555
2001-07-01,334.8300791402275
2001-08-01,461.87052105516415
2001-09-01,474.87443732252956
2001-10-01,692.2766149565982
2001-11-01,758.1500415919558
2001-12-01,1006.1516146101853
2002-01-01,847.2975559094871
2002-02-01,937.3966333282119
2002-03-01,700.1056805457648
2002-04-01,569.8627331167582
2002-05-01,353.66388276227127
2002-06-01,193.41786001949413
2002-07-01,114.3418887000268
2002-08-01,310.6232008526016
2002-09-01,380.66527305571435
2002-10-01,528.0081365552419
2002-11-01,649.2107222334768
2002-12-01,1006.7768687085331
2003-01-01,949.167481117413
2003-02-01,639.5621275776904
2003-03-01,671.5050854595971
2003-04-01,646.3207008481907
2003-05-01,303.91716749756176
2003-06-01,171.26972290634697
2003-07-01,137.69320867046807
2003-08-01,285.2859099245257
2003-09-01,460.2006897046355
2003-10-01,542.9485030719958
2003-11-01,585.9230955594763
2003-12-01,753.6586262945322
2004-01-01,771.8006205250713
2004-02-01,1054.0959111149298
2004-03-01,771.2531959339096
2004-04-01,459.89463993186513
2004-05-01,402.1948576314315
2004-06-01,176.79504311631712
2004-07-01,90.65059474091468
2004-08-01,316.6091645485756
2004-09-01,383.35926068177577
2004-10-01,654.1651932409387
2004-11-01,780.3419245194884
2004-12-01,783.6602018212657
2005-01-01,915.121430646457
2005-02-01,1028.784803519699
2005-03-01,650.902951850974
2005-04-01,586.5598465338655
2005-05-01,261.8912920027114
2005-06-01,186.93590931627995
2005-07-01,92.70431388970675
2005-08-01,110.7197414058761
2005-09-01,173.89282891567441
2005-10-01,318.8767714016972
2005-11-01,532.871211495822
2005-12-01,838.3540630753074
2006-01-01,938.5558768994907
2006-02-01,993.4528087468383
2006-03-01,611.3377704806519
2006-04-01,533.9182305591709
2006-05-01,280.493736563253
2006-06-01,144.57443910708378
2006-07-01,64.75091026985729
2006-08-01,112.60903887802233
2006-09-01,195.98817598923287
2006-10-01,385.0229005162378
2006-11-01,489.77960325990955
2006-12-01,684.5081320284105
2007-01-01,946.6955914594224
2007-02-01,751.0968284578852
2007-03-01,728.4643996518262
2007-04-01,528.5419397200864
2007-05-01,185.25858484117688
2007-06-01,88.39162241067484
2007-07-01,96.77611964053892
2007-08-01,113.4255506289747
2007-09-01,183.97160636055912
2007-10-01,238.75240060578275
2007-11-01,611.628715048636
2007-12-01,837.590947667537
2008-01-01,1006.2689907097284
2008-02-01,754.3162556205872
2008-03-01,953.5801660387586
2008-04-01,417.60155451486463
2008-05-01,163.30345328109982
2008-06-01,151.03531859363423
2008-07-01,130.6611081155975
2008-08-01,241.4766989294556
2008-09-01,146.8298729902299
2008-10-01,454.8071781872783
2008-11-01,582.5122078462291
2008-12-01,1002.6649347913624
2009-01-01,950.2488604970764
2009-02-01,903.2201856747365
2009-03-01,510.2485632459468
2009-04-01,565.2922470363176
2009-05-01,261.2390379363882
2009-06-01,98.53228900777155
2009-07-01,129.79597158448283
2009-08-01,135.95894362537615
2009-09-01,187.76757467512797
2009-10-01,242.1222281760664
2009-11-01,343.98104414995584
2009-12-01,665.2738464132589
2010-01-01,792.6373019490087
2010-02-01,914.6215409115997
2010-03-01,867.2353961477313
2010-04-01,593.919016310015
2010-05-01,156.35289161823758
2010-06-01,126.13257502392669
2010-07-01,77.05999908445285
2010-08-01,120.3268703851197
2010-09-01,252.36380150846574
2010-10-01,302.02729978345565
2010-11-01,613.095897347043
2010-12-01,713.9473491589722
2011-01-01,968.7885745087233
2011-02-01,1073.000171398914
2011-03-01,595.2297072660009
2011-04-01,390.0944616534968
2011-05-01,213.24353610413817
2011-06-01,124.20685989640972
2011-07-01,95.38659809235439
2011-08-01,104.5529795534233
2011-09-01,210.45099168693193
2011-10-01,352.47520052273666
2011-11-01,579.0073390554804
2011-12-01,952.7295327278199
2012-01-01,1044.1222629260737
2012-02-01,902.9037340399673
2012-03-01,810.3875102533218
2012-04-01,465.6782742710285
2012-05-01,164.28363667244727
2012-06-01,85.96273008078556
2012-07-01,93.66246287621159
2012-08-01,120.99016132421544
2012-09-01,211.14621719043322
2012-10-01,288.08579182528683
2012-11-01,597.1385512934382
2012-12-01,804.7083316504369
2013-01-01,953.9440123812705
2013-02-01,1039.8673936061505
2013-03-01,916.9510247565555
2013-04-01,552.3244834408696
2013-05-01,223.1794981679406
2013-06-01,157.1168220321349
2013-07-01,125.5940419565881
2013-08-01,154.61922184263068
2013-09-01,176.5736034701656
2013-10-01,310.4281576364605
2013-11-01,585.7557562791226
2013-12-01,777.9357441385728
2014-01-01,761.1734681431791
2014-02-01,922.6880227674401
2014-03-01,705.5116326343016
2014-04-01,553.3451513399798
2014-05-01,182.84889552220525
2014-06-01,108.19191637907022
2014-07-01,104.89606725332911
2014-08-01,256.5278849895364
2014-09-01,248.61520883274656
2014-10-01,350.6749956226482
2014-11-01,436.18410905578673
2014-12-01,815.0592364895931
2015-01-01,961.6466796317118
2015-02-01,1044.9335944874147
2015-03-01,771.2259761524607
2015-04-01,490.29976638820676
2015-05-01,272.6792169182884
2015-06-01,113.54387511075532
2015-07-01,126.8212326956101
2015-08-01,110.94701477003503
2015-09-01,224.29325153441263
2015-10-01,323.1023902590394
2015-11-01,611.4737821643182
2015-12-01,879.2000574855908
2016-01-01,1024.5436790432045
2016-02-01,1011.0025799232636
2016-03-01,784.8227087982257
2016-04-01,571.146944137784
2016-05-01,426.1418501112569
2016-06-01,157.78126429247368
2016-07-01,132.96573168411163
2016-08-01,146.81195097324007
2016-09-01,289.80086672498015
2016-10-01,627.6110345845867
2016-11-01,861.2582895398147
2016-12-01,775.7652013142804
2017-01-01,771.4046549839225
2017-02-01,894.4652766749998
2017-03-01,888.5347701147431
2017-04-01,663.8348227373049
2017-05-01,274.382715966719
2017-06-01,86.67802669284579
2017-07-01,109.84471780874863
2017-08-01,157.60686854915227
2017-09-01,298.15032747123763
2017-10-01,488.29008463818604
2017-11-01,645.0849731609169
2017-12-01,983.6670580414195
2018-01-01,1018.1818584319335
2018-02-01,938.5116294427705
2018-03-01,536.9694083971611
2018-04-01,341.6907211485262
2018-05-01,203.92121416664125
2018-06-01,104.49643015947264
2018-07-01,80.1230813566001
2018-08-01,129.71057162067336
2018-09-01,260.6855373778423
2018-10-01,369.9673487133991
2018-11-01,728.4197103637999
2018-12-01,842.2694716606889
2019-01-01,815.9553778540323
2019-02-01,995.3155462312797
2019-03-01,846.5157116402544
2019-04-01,525.3379066635331
2019-05-01,153.95658788241775
2019-06-01,118.89937467652996
2019-07-01,132.04082141302754
2019-08-01,194.3368290097932
2019-09-01,188.02227439083578
2019-10-01,351.2212555609666
2019-11-01,841.4404897118445
2019-12-01,1058.325583263212
2020-01-01,754.5387473035731
2020-02-01,958.7828751051778
2020-03-01,800.3105696084315
2020-04-01,536.0188108836172
2020-05-01,147.97647876588843
2020-06-01,155.78004919549485
2020-07-01,74.61760674878037
2020-08-01,113.29730912192663
2020-09-01,230.45031349744437
2020-10-01,259.0412729138799
2020-11-01,774.1283222204993
2020-12-01,819.7065515121938
2021-01-01,886.6247056773738
2021-02-01,1079.3209939515975
2021-03-01,906.0505474242223
2021-04-01,439.22903922082537
2021-05-01,295.05198044257145
2021-06-01,120.51116330143698
2021-07-01,200.58657086923665
2021-08-01,247.82839558531526
2021-09-01,222.79830517963924
2021-10-01,588.9637308849242
2021-11-01,734.2457320635624
2021-12-01,1064.8580288843887
2022-01-01,954.6616626792883
2022-02-01,995.0633788275421
2022-03-01,621.8114738327115
2022-04-01,486.20381133464804
2022-05-01,261.20468415321034
2022-06-01,88.463732839104
2022-07-01,65.83257259450014
2022-08-01,113.77440252868452
2022-09-01,221.2793893363512
2022-10-01,305.46342617196603
2022-11-01,784.2844956678406
2022-12-01,829.8665315637646
2023-01-01,713.7570395959691
2023-02-01,860.5997035607201
2023-03-01,641.4583460493336
2023-04-01,558.5897544876381
2023-05-01,308.8052526675273
2023-06-01,81.04207573052254
2023-07-01,72.00017749552195
2023-08-01,133.02695472727206
2023-09-01,117.20803502851642
2023-10-01,258.6255002874335
2023-11-01,399.5755869737399
2023-12-01,948.8488595301108
