Year,Month,SCA,CCA
2000,1,0,
2000,2,0.33,0.47
2000,3,0.00,1.98
2000,4,2.89,27.58
2000,5,7.01,35.57
2000,6,17.63,50.38
2000,7,34.89,18.69
2000,8,25.63,22.48
2000,9,27.98,31.44
2000,10,19.89,14.17
2000,11,10.75,20.45
2000,12,1.44,0.86
2001,1,0.01,0.76
2001,2,0.02,1.20
2001,3,0.71,6.41
2001,4,2.56,3.58
2001,5,9.65,39.73
2001,6,8.09,21.47
2001,7,23.44,59.51
2001,8,28.84,40.39
2001,9,24.79,27.56
2001,10,18.60,5.27
2001,11,8.85,8.33
2001,12,0.94,2.37
2002,1,0.10,0.41
2002,2,0.06,1.35
2002,3,0.42,0.21
2002,4,1.76,5.60
2002,5,5.97,48.40
2002,6,35.71,29.00
2002,7,33.82,7.01
2002,8,33.12,29.61
2002,9,26.60,16.21
2002,10,22.01,4.49
2002,11,17.18,0.33
2002,12,7.18,0.80
2003,1,1.05,0.17
2003,2,0.05,0.03
2003,3,0.08,0.45
2003,4,0.27,1.94
2003,5,10.31,9.22
2003,6,24.79,29.74
2003,7,27.05,11.12
2003,8,22.13,14.84
2003,9,18.41,8.29
2003,10,11.84,4.56
2003,11,3.84,1.22
2003,12,0.19,0.01
2004,1,0.10,0.12
2004,2,0.16,0.05
2004,3,0.22,2.44
2004,4,5.52,8.56
2004,5,9.65,2.44
2004,6,14.66,6.59
2004,7,18.43,24.52
2004,8,27.47,13.82
2004,9,13.91,3.21
2004,10,4.28,3.33
2004,11,3.92,10.03
2004,12,0.09,0.09
2005,1,0.22,0.00
2005,2,0.05,0.43
2005,3,1.68,4.36
2005,4,2.15,6.61
2005,5,20.74,13.96
2005,6,22.57,49.70
2005,7,24.61,16.99
2005,8,24.05,24.27
2005,9,26.82,11.11
2005,10,20.32,3.32
2005,11,14.16,0.33
2005,12,4.24,0.80
2006,1,0.27,0.08
2006,2,0.10,0.26
2006,3,0.05,0.05
2006,4,0.19,0.23
2006,5,2.07,24.05
2006,6,20.56,35.01
2006,7,28.09,34.82
2006,8,24.66,14.46
2006,9,20.24,10.50
2006,10,16.19,7.10
2006,11,6.97,0.11
2006,12,0.57,0.01
2007,1,0.14,0.03
2007,2,0.17,0.08
2007,3,0.11,8.97
2007,4,0.32,5.88
2007,5,4.02,15.20
2007,6,25.15,24.33
2007,7,27.84,20.00
2007,8,27.92,6.23
2007,9,21.10,2.03
2007,10,13.97,0.33
2007,11,3.73,0.07
2007,12,0.24,0.11
2008,1,0.09,0.00
2008,2,0.23,0.17
2008,3,0.22,0.19
2008,4,0.17,6.28
2008,5,6.75,24.46
2008,6,27.15,17.33
2008,7,26.24,25.08
2008,8,29.35,16.40
2008,9,25.03,17.41
2008,10,19.10,2.01
2008,11,8.46,0.20
2008,12,0.66,0.88
2009,1,0.14,0.04
2009,2,0.11,0.15
2009,3,0.16,0.09
2009,4,0.07,0.18
2009,5,0.84,11.16
2009,6,10.44,38.65
2009,7,31.76,18.22
2009,8,29.57,20.55
2009,9,23.54,18.31
2009,10,17.14,6.28
2009,11,6.68,2.52
2009,12,0.55,0.07
2010,1,0.07,0.04
2010,2,0.01,0.01
2010,3,0.03,0.03
2010,4,0.11,0.25
2010,5,6.58,16.37
2010,6,24.62,15.43
2010,7,27.86,6.18
2010,8,20.79,5.02
2010,9,15.61,7.09
2010,10,7.09,4.47
2010,11,2.43,1.63
2010,12,0.06,0.03
2011,1,0.07,0.00
2011,2,0.15,0.28
2011,3,0.10,0.03
2011,4,0.08,1.67
2011,5,0.44,0.34
2011,6,26.96,20.19
2011,7,34.14,27.70
2011,8,29.60,27.70
2011,9,22.40,1.46
2011,10,12.56,1.85
2011,11,2.45,0.03
2011,12,0.16,1.09
2012,1,0.08,0.13
2012,2,0.11,0.01
2012,3,0.04,0.00
2012,4,2.07,13.09
2012,5,12.82,14.87
2012,6,21.05,19.70
2012,7,18.20,4.90
2012,8,21.28,23.15
2012,9,14.13,9.66
2012,10,6.67,14.32
2012,11,0.67,5.79
2012,12,0.05,5.17
2013,1,0.17,0.99
2013,2,0.08,0.03
2013,3,0.04,0.25
2013,4,0.03,0.21
2013,5,10.50,16.34
2013,6,24.26,8.29
2013,7,23.84,15.95
2013,8,21.82,11.22
2013,9,15.69,16.41
2013,10,11.99,15.84
2013,11,3.06,3.11
2013,12,0.08,1.12
2014,1,0.06,0.02
2014,2,0.04,0.47
2014,3,0.12,0.26
2014,4,0.49,0.27
2014,5,3.12,7.98
2014,6,24.84,20.12
