Year,Month,SCA
2000,1,0
2000,2,0.50
2000,3,0.39
2000,4,0.41
2000,5,6.09
2000,6,11.55
2000,7,3.92
2000,8,1.19
2000,9,0.72
2000,10,0.48
2000,11,0.47
2000,12,0.34
2001,1,1.14
2001,2,1.11
2001,3,2.08
2001,4,0.93
2001,5,3.12
2001,6,0.83
2001,7,0.85
2001,8,1.16
2001,9,1.40
2001,10,0.73
2001,11,0.38
2001,12,0.66
2002,1,0.26
2002,2,0.54
2002,3,0.74
2002,4,1.35
2002,5,9.39
2002,6,6.24
2002,7,28.51
2002,8,7.57
2002,9,3.82
2002,10,1.37
2002,11,0.65
2002,12,0.50
2003,1,0.75
2003,2,0.92
2003,3,0.64
2003,4,0.44
2003,5,8.55
2003,6,4.56
2003,7,4.46
2003,8,4.69
2003,9,0.77
2003,10,0.58
2003,11,0.57
2003,12,0.43
2004,1,0.58
2004,2,0.74
2004,3,0.53
2004,4,0.57
2004,5,0.53
2004,6,0.53
2004,7,7.47
2004,8,16.75
2004,9,2.09
2004,10,0.91
2004,11,0.59
2004,12,0.55
2005,1,0.92
2005,2,0.90
2005,3,0.70
2005,4,5.63
2005,5,8.30
2005,6,2.00
2005,7,0.86
2005,8,0.54
2005,9,22.01
2005,10,10.59
2005,11,1.40
2005,12,0.63
2006,1,1.61
2006,2,2.35
2006,3,0.84
2006,4,0.55
2006,5,3.07
2006,6,6.09
2006,7,1.09
2006,8,2.31
2006,9,3.71
2006,10,0.65
2006,11,0.58
2006,12,0.50
2007,1,0.73
2007,2,0.86
2007,3,0.48
2007,4,0.44
2007,5,0.91
2007,6,5.36
2007,7,10.93
2007,8,5.00
2007,9,1.38
2007,10,0.55
2007,11,0.48
2007,12,0.47
2008,1,1.13
2008,2,1.07
2008,3,0.53
2008,4,0.88
2008,5,0.50
2008,6,6.57
2008,7,3.07
2008,8,0.65
2008,9,0.67
2008,10,0.60
2008,11,0.55
2008,12,0.44
2009,1,0.75
2009,2,0.58
2009,3,1.95
2009,4,0.90
2009,5,0.49
2009,6,0.51
2009,7,8.97
2009,8,2.45
2009,9,0.62
2009,10,0.51
2009,11,0.56
2009,12,0.44
2010,1,0.59
2010,2,0.60
2010,3,0.47
2010,4,0.47
2010,5,9.44
2010,6,1.22
2010,7,0.50
2010,8,0.45
2010,9,0.44
2010,10,0.72
2010,11,0.42
2010,12,0.40
2011,1,0.50
2011,2,1.68
2011,3,1.07
2011,4,1.00
2011,5,0.76
2011,6,14.30
2011,7,44.64
2011,8,15.31
2011,9,6.42
2011,10,2.25
2011,11,0.71
2011,12,0.74
2012,1,1.76
2012,2,3.03
2012,3,2.03
2012,4,3.47
2012,5,1.54
2012,6,4.53
2012,7,9.94
2012,8,3.07
2012,9,0.93
2012,10,0.78
2012,11,0.48
2012,12,0.64
2013,1,0.96
2013,2,1.70
2013,3,0.45
2013,4,0.43
2013,5,11.08
2013,6,30.08
2013,7,17.74
2013,8,11.05
2013,9,11.71
2013,10,3.20
2013,11,0.64
2013,12,0.59
2014,1,1.51
2014,2,0.63
2014,3,0.51
2014,4,0.66
2014,5,6.25
2014,6,5.61
2014,7,1.44
2014,8,1.14
2014,9,2.38
2014,10,0.64
2014,11,0.59
2014,12,0.46
2015,1,0.71
2015,2,1.13
2015,3,5.31
2015,4,7.48
2015,5,7.35
2015,6,5.64
2015,7,4.36
2015,8,5.52
2015,9,2.14
2015,10,2.98
2015,11,1.74
2015,12,0.89
2016,1,0.68
2016,2,0.69
2016,3,0.55
2016,4,1.99
2016,5,1.66
2016,6,0.62
2016,7,7.69
2016,8,0.81
2016,9,0.57
2016,10,0.55
2016,11,0.48
2016,12,0.48
2017,1,1.42
2017,2,1.37
2017,3,1.59
2017,4,3.49
2017,5,10.47
2017,6,48.23
2017,7,25.79
2017,8,12.09
2017,9,5.33
2017,10,2.20
2017,11,0.94
2017,12,0.63
2018,1,0.93
2018,2,2.36
2018,3,1.27
2018,4,0.80
2018,5,0.71
2018,6,9.63
2018,7,14.95
2018,8,17.09
2018,9,4.92
2018,10,1.52
2018,11,0.65
2018,12,0.61
2019,1,0.64
2019,2,3.27
2019,3,0.99
2019,4,1.22
2019,5,1.09
2019,6,7.01
2019,7,4.73
2019,8,0.96
2019,9,6.69
2019,10,0.81
2019,11,0.64
2019,12,0.66
2020,1,1.09
2020,2,0.78
2020,3,1.31
2020,4,0.68
2020,5,0.61
2020,6,1.34
2020,7,0.61
2020,8,8.81
2020,9,17.16
2020,10,3.25
2020,11,0.72
2020,12,0.66
2021,1,0.86
2021,2,0.71
2021,3,0.91
2021,4,0.53
2021,5,9.74
2021,6,22.13
2021,7,6.87
2021,8,7.46
2021,9,0.71
2021,10,0.75
2021,11,0.56
2021,12,1.05
2022,1,1.31
2022,2,0.69
2022,3,1.03
2022,4,0.36
2022,5,0.75
2022,6,9.88
2022,7,5.35
2022,8,1.60
2022,9,0.74
2022,10,0.55
2022,11,0.56
2022,12,0.99
2023,1,0.73
2023,2,3.24
2023,3,1.35
2023,4,1.12
2023,5,0.67
2023,6,0.60
2023,7,0.58
2023,8,0.55
2023,9,0.63
2023,10,0.51
2023,11,0.54
2023,12,0.43
