Year,Month,SCA,CCA
2000,1,0,
2000,2,13.02,6.23
2000,3,2.89,3.69
2000,4,7.73,32.50
2000,5,20.92,48.12
2000,6,26.46,61.13
2000,7,39.49,22.85
2000,8,34.86,61.94
2000,9,34.94,52.62
2000,10,29.56,18.05
2000,11,23.42,28.86
2000,12,14.74,2.35
2001,1,6.38,1.06
2001,2,2.74,1.81
2001,3,4.46,12.61
2001,4,12.11,11.63
2001,5,26.39,53.70
2001,6,25.84,40.43
2001,7,34.84,67.76
2001,8,35.59,50.20
2001,9,32.95,39.33
2001,10,28.19,23.30
2001,11,21.26,18.57
2001,12,12.90,1.25
2002,1,5.80,0.89
2002,2,3.30,0.60
2002,3,4.19,24.72
2002,4,11.98,15.59
2002,5,15.32,56.14
2002,6,41.61,36.31
2002,7,39.98,14.03
2002,8,37.85,55.61
2002,9,34.66,35.62
2002,10,30.40,23.05
2002,11,25.83,1.52
2002,12,18.72,4.04
2003,1,12.72,8.83
2003,2,6.48,0.04
2003,3,4.76,0.43
2003,4,4.03,13.07
2003,5,12.60,23.26
2003,6,33.62,51.94
2003,7,36.64,18.26
2003,8,31.35,28.22
2003,9,27.99,21.15
2003,10,21.61,8.14
2003,11,16.03,5.20
2003,12,7.41,0.64
2004,1,3.79,0.41
2004,2,3.17,0.13
2004,3,2.70,6.82
2004,4,13.93,23.75
2004,5,20.72,24.00
2004,6,25.93,38.52
2004,7,32.77,48.69
2004,8,35.29,22.81
2004,9,26.88,18.57
2004,10,19.34,19.63
2004,11,19.11,21.97
2004,12,8.49,1.29
2005,1,4.19,0.81
2005,2,2.94,0.71
2005,3,7.08,13.23
2005,4,11.14,7.53
2005,5,30.99,45.10
2005,6,34.89,64.09
2005,7,35.91,35.65
2005,8,37.13,60.72
2005,9,35.46,22.06
2005,10,30.75,9.41
2005,11,25.77,0.69
2005,12,19.35,0.33
2006,1,10.69,0.43
2006,2,5.74,0.81
2006,3,4.06,0.42
2006,4,5.82,7.13
2006,5,6.46,38.34
2006,6,32.35,58.52
