Year,SCA,CCA
2000-02-01,0.00,0.32
2000-03-01,0.00,2.39
2000-04-01,0.03,30.13
2000-05-01,1.95,30.66
2000-06-01,10.63,43.95
2000-07-01,19.71,22.02
2000-08-01,10.41,31.84
2000-09-01,12.45,36.82
2000-10-01,5.98,19.23
2000-11-01,0.76,22.92
2000-12-01,0.00,2.49
2001-01-01,0.00,2.46
2001-02-01,0.00,1.82
2001-03-01,0.11,7.04
2001-04-01,0.21,2.13
2001-05-01,2.02,39.21
2001-06-01,1.57,32.45
2001-07-01,11.99,62.82
2001-08-01,13.16,45.17
2001-09-01,9.71,36.09
2001-10-01,4.95,13.92
2001-11-01,0.68,7.55
2001-12-01,0.00,4.18
2002-01-01,0.00,1.05
2002-02-01,0.01,3.45
2002-03-01,0.05,0.15
2002-04-01,0.06,6.23
2002-05-01,1.22,47.22
2002-06-01,22.06,34.16
2002-07-01,18.97,11.41
2002-08-01,18.74,42.92
2002-09-01,11.47,15.41
2002-10-01,7.22,2.18
2002-11-01,3.32,0.43
2002-12-01,0.37,0.40
2003-01-01,0.07,0.03
2003-02-01,0.00,0.01
2003-03-01,0.01,1.23
2003-04-01,0.01,3.45
2003-05-01,4.80,11.26
2003-06-01,9.65,29.16
2003-07-01,11.05,17.07
2003-08-01,6.65,15.70
2003-09-01,3.97,17.88
2003-10-01,0.91,9.70
2003-11-01,0.03,0.52
2003-12-01,0.00,0.00
2004-01-01,0.01,0.24
2004-02-01,0.02,0.02
2004-03-01,0.03,1.91
2004-04-01,2.04,8.11
2004-05-01,1.74,1.31
2004-06-01,3.50,8.61
2004-07-01,8.38,23.60
2004-08-01,16.64,15.29
2004-09-01,6.15,7.12
2004-10-01,0.86,5.16
2004-11-01,0.20,18.23
2004-12-01,0.02,0.43
2005-01-01,0.04,0.00
2005-02-01,0.01,1.99
2005-03-01,0.01,10.14
2005-04-01,0.45,6.09
2005-05-01,5.35,15.28
2005-06-01,6.55,46.24
2005-07-01,9.17,26.95
2005-08-01,10.61,28.22
2005-09-01,11.63,13.32
2005-10-01,6.25,8.37
2005-11-01,2.27,0.08
2005-12-01,0.20,2.33
2006-01-01,0.04,0.75
2006-02-01,0.08,2.39
2006-03-01,0.01,0.01
2006-04-01,0.02,0.79
2006-05-01,0.07,28.07
2006-06-01,6.21,36.05
2006-07-01,14.59,40.29
2006-08-01,9.91,19.42
2006-09-01,6.02,12.16
2006-10-01,3.58,7.06
2006-11-01,0.39,0.03
2006-12-01,0.01,0.00
2007-01-01,0.02,0.00
2007-02-01,0.04,0.05
2007-03-01,0.01,10.90
2007-04-01,0.00,8.32
2007-05-01,0.29,10.39
2007-06-01,11.29,19.84
2007-07-01,13.29,14.04
2007-08-01,14.07,5.73
2007-09-01,6.66,5.52
2007-10-01,1.60,1.61
2007-11-01,0.01,0.00
2007-12-01,0.00,0.00
2008-01-01,0.03,0.00
2008-02-01,0.07,0.08
2008-03-01,0.03,0.06
2008-04-01,0.03,9.10
2008-05-01,2.65,24.33
2008-06-01,11.14,22.42
2008-07-01,10.50,28.45
2008-08-01,14.43,14.17
2008-09-01,10.07,20.33
2008-10-01,4.65,5.87
2008-11-01,0.42,1.09
2008-12-01,0.02,2.96
2009-01-01,0.07,0.00
2009-02-01,0.01,0.03
2009-03-01,0.02,0.03
2009-04-01,0.01,0.32
2009-05-01,0.05,15.44
2009-06-01,2.28,35.10
2009-07-01,15.78,18.18
2009-08-01,13.46,26.63
2009-09-01,8.71,24.63
2009-10-01,3.80,6.34
2009-11-01,0.45,5.66
2009-12-01,0.01,0.00
2010-01-01,0.01,0.00
2010-02-01,0.00,0.00
2010-03-01,0.00,0.01
2010-04-01,0.01,0.06
2010-05-01,1.12,14.68
2010-06-01,8.72,11.67
2010-07-01,14.00,4.61
2010-08-01,8.25,6.47
2010-09-01,4.53,7.42
2010-10-01,0.70,7.67
2010-11-01,0.48,1.03
2010-12-01,0.01,0.00
2011-01-01,0.02,0.00
2011-02-01,0.04,0.09
2011-03-01,0.01,0.00
2011-04-01,0.00,2.37
2011-05-01,0.03,0.08
2011-06-01,12.10,16.27
2011-07-01,19.13,29.75
2011-08-01,15.17,28.39
2011-09-01,8.11,0.75
2011-10-01,1.70,1.67
2011-11-01,0.04,0.00
2011-12-01,0.01,1.77
2012-01-01,0.01,0.43
2012-02-01,0.02,0.00
2012-03-01,0.01,0.00
2012-04-01,0.35,13.24
2012-05-01,2.00,13.94
2012-06-01,7.02,31.50
2012-07-01,4.33,4.55
2012-08-01,7.18,23.82
2012-09-01,2.16,11.75
2012-10-01,0.49,15.51
2012-11-01,0.00,8.75
2012-12-01,0.02,8.61
2013-01-01,0.01,2.88
2013-02-01,0.02,0.06
2013-03-01,0.02,0.86
2013-04-01,0.01,0.79
2013-05-01,2.02,9.51
2013-06-01,6.05,12.32
2013-07-01,7.22,19.38
2013-08-01,7.55,18.74
2013-09-01,1.64,14.99
2013-10-01,0.68,13.73
2013-11-01,0.13,1.91
2013-12-01,0.01,2.22
2014-01-01,0.02,0.00
2014-02-01,0.01,0.98
