Year,Month,SCA,CCA
2000,1,0,
2000,2,0.02,58.92
2000,3,1.44,58.43
2000,4,7.70,61.17
2000,5,7.15,51.31
2000,6,26.41,47.79
2000,7,25.30,49.66
2000,8,21.14,56.45
2000,9,16.02,44.42
2000,10,3.34,55.62
2000,11,1.31,59.83
2000,12,0.24,61.53
2001,1,1.01,59.00
2001,2,1.61,60.03
2001,3,3.01,54.79
2001,4,5.15,55.05
2001,5,12.74,44.31
2001,6,35.56,50.17
2001,7,37.27,43.72
2001,8,19.12,49.26
2001,9,5.11,49.84
2001,10,1.94,54.43
2001,11,1.96,59.35
2001,12,0.18,56.48
2002,1,0.71,57.10
2002,2,0.24,52.20
2002,3,1.39,52.15
2002,4,7.19,55.71
2002,5,25.09,44.92
2002,6,39.24,50.65
2002,7,24.08,38.00
2002,8,10.77,37.19
2002,9,3.95,36.09
2002,10,4.79,41.41
2002,11,2.03,46.15
2002,12,1.08,48.81
2003,1,2.58,49.97
2003,2,1.51,42.99
2003,3,1.43,37.27
2003,4,2.05,33.57
2003,5,11.34,40.93
2003,6,30.95,29.03
2003,7,21.87,43.11
2003,8,15.07,39.29
2003,9,6.45,41.68
2003,10,4.23,38.69
2003,11,2.83,41.85
2003,12,1.85,50.15
2004,1,2.02,45.34
2004,2,0.98,38.59
2004,3,2.28,39.67
2004,4,10.22,43.25
2004,5,8.13,29.35
2004,6,28.49,42.29
2004,7,36.77,34.96
2004,8,18.27,41.42
2004,9,13.34,46.77
2004,10,2.16,37.83
2004,11,0.53,37.12
2004,12,1.19,42.38
2005,1,1.43,44.92
2005,2,0.50,34.99
2005,3,3.67,43.46
2005,4,6.03,42.56
2005,5,25.55,39.41
2005,6,46.31,31.32
2005,7,21.14,39.03
2005,8,23.30,38.45
2005,9,6.90,42.47
2005,10,1.26,33.87
2005,11,0.91,36.46
2005,12,0.75,38.44
2006,1,1.06,40.20
2006,2,1.46,35.74
2006,3,5.65,44.74
2006,4,9.21,43.02
2006,5,13.90,37.25
2006,6,30.54,32.92
2006,7,30.92,33.55
2006,8,15.37,36.85
2006,9,8.09,42.18
2006,10,5.31,40.69
2006,11,1.53,44.81
2006,12,1.49,46.73
2007,1,0.87,44.82
2007,2,1.53,42.31
2007,3,2.37,42.19
2007,4,11.44,41.81
2007,5,16.97,37.99
2007,6,26.39,39.15
2007,7,33.25,38.18
2007,8,22.93,42.17
2007,9,4.81,32.94
2007,10,6.11,46.04
2007,11,2.77,43.62
2007,12,1.35,46.39
2008,1,0.84,41.41
2008,2,0.70,44.54
2008,3,3.11,43.96
2008,4,12.85,48.49
2008,5,25.86,34.44
2008,6,27.02,34.47
2008,7,30.17,35.86
2008,8,27.99,37.46
2008,9,7.67,37.23
2008,10,5.66,47.46
2008,11,1.43,44.64
2008,12,0.36,41.63
2009,1,1.13,43.85
2009,2,1.87,46.41
2009,3,7.06,42.69
2009,4,8.62,44.57
2009,5,25.53,42.94
2009,6,29.89,38.76
2009,7,25.96,38.27
2009,8,18.69,39.88
2009,9,12.02,46.83
2009,10,5.70,47.04
2009,11,4.89,48.85
2009,12,2.27,42.84
2010,1,2.91,47.98
2010,2,1.36,41.97
2010,3,1.72,41.08
2010,4,9.25,39.79
2010,5,19.44,42.69
2010,6,29.12,37.50
2010,7,36.17,35.56
2010,8,16.31,40.51
2010,9,10.68,45.13
2010,10,4.49,45.35
2010,11,3.26,40.76
2010,12,2.34,48.72
2011,1,1.17,42.93
2011,2,2.02,35.11
2011,3,8.38,47.25
2011,4,8.11,45.40
2011,5,23.53,41.17
2011,6,27.44,31.94
2011,7,34.11,40.57
2011,8,20.31,31.91
2011,9,9.44,41.27
2011,10,2.53,43.71
2011,11,3.07,47.31
2011,12,0.56,41.04
2012,1,1.14,44.55
2012,2,0.74,31.61
2012,3,2.07,46.39
2012,4,6.68,36.47
2012,5,25.63,37.86
2012,6,32.88,41.95
2012,7,31.75,45.71
2012,8,23.92,41.50
2012,9,7.09,44.17
2012,10,7.94,46.97
2012,11,2.38,45.74
2012,12,0.53,40.34
2013,1,1.05,43.95
2013,2,0.67,33.67
2013,3,2.51,35.46
2013,4,7.27,39.32
2013,5,19.55,39.94
2013,6,31.67,40.49
2013,7,27.19,38.52
2013,8,26.77,42.72
2013,9,13.33,38.37
2013,10,3.03,48.70
2013,11,2.94,45.04
2013,12,1.14,48.18
2014,1,1.25,46.24
2014,2,2.27,43.92
2014,3,3.52,45.36
2014,4,6.25,36.95
2014,5,17.29,35.35
2014,6,26.40,35.95
2014,7,31.73,37.33
2014,8,12.20,41.78
2014,9,3.80,32.68
