Year,Elevation,SCA,CCA
2000-02-01,3800,0.0,0.0
2000-02-01,3900,0.0,0.0
2000-02-01,4000,1.6604340554565626,0.11048719872456152
2000-02-01,4100,0.42529537712051735,0.13143523374450639
2000-02-01,4200,0.1455213445843846,0.904206144975728
2000-02-01,4300,0.24078844557308288,0.5115088473246426
2000-02-01,4400,0.13955869935142154,1.162550700980359
2000-02-01,4500,0.0,0.4673250365294513
2000-02-01,4600,0.554652405907236,0.6925780565623312
2000-02-01,4700,0.0,0.5393183002552661
2000-02-01,4800,0.0,0.5081764895534407
2000-02-01,4900,0.0035916037875094622,0.5484873965867112
2000-02-01,5000,0.034694336470814977,0.2233447910308714
2000-02-01,5100,0.38260583542579724,0.4011971054509068
2000-02-01,5200,0.6998744730407265,0.17668100914968157
2000-02-01,5300,0.955985126190037,0.23185386393804344
2000-02-01,5400,3.493267212046619,0.2856608508892586
2000-02-01,5500,3.4893299478611417,0.2897679917818307
2000-02-01,5600,10.88824987141721,0.19871884789825586
2000-02-01,5700,14.17422810333963,0.06301197227473218
2000-02-01,5800,16.68642297650131,2.7480417754569193
2000-02-01,5900,29.43657219973009,0.0
2000-02-01,6000,53.547297297297305,0.0
2000-02-01,6100,73.92979452054793,0.0
2000-03-01,3800,0.0,1.5752482836909583
2000-03-01,3900,0.0,2.527286220969831
2000-03-01,4000,1.9369783363031035,1.5372049551801248
2000-03-01,4100,0.6678816931198587,1.4465870612796494
2000-03-01,4200,0.06990771504293566,2.1139365502023573
2000-03-01,4300,0.22817429310934306,1.8286703805980709
2000-03-01,4400,0.14018109906806925,1.772087013684311
2000-03-01,4500,1.1983566173116256E-4,1.773735511571332
2000-03-01,4600,0.5815093219743079,1.9908586931333518
2000-03-01,4700,0.03169797821881896,2.415239755253669
2000-03-01,4800,0.21994069798785554,2.89303076860017
2000-03-01,4900,0.4091163223408504,3.1743312078537294
2000-03-01,5000,0.6082431173503805,3.046927936680366
2000-03-01,5100,0.48353516728900126,2.5992932420025667
2000-03-01,5200,0.43351787489388194,2.3251748004803643
2000-03-01,5300,0.6631328182001986,2.4418136418292233
2000-03-01,5400,1.8554622457105598,2.1636608856627277
2000-03-01,5500,2.078363343864477,2.318177705944155
2000-03-01,5600,5.47837471361107,2.91899703901516
2000-03-01,5700,5.597248477210669,2.6849588969796967
2000-03-01,5800,4.41070496083551,4.478056881045987
2000-03-01,5900,24.572199730094464,5.573849645235005
2000-03-01,6000,35.26351351351352,8.546046046046047
2000-03-01,6100,83.31849315068492,6.627346524606798
2000-04-01,3800,0.0,15.033063788890981
2000-04-01,3900,0.0,14.947466505530471
2000-04-01,4000,1.1642244208946821,14.76364373714064
2000-04-01,4100,0.6448973223186347,14.976373433905856
2000-04-01,4200,0.042586544406844146,15.64703224513369
2000-04-01,4300,0.32054255994530567,16.01413327800648
2000-04-01,4400,0.3593787295859322,16.055797623654755
2000-04-01,4500,0.29392283400445895,16.01217567745127
2000-04-01,4600,1.1656311565970143,15.979218244951948
2000-04-01,4700,0.7595193301359389,16.182167096382045
2000-04-01,4800,1.3968176700968913,16.28797677735777
2000-04-01,4900,1.8116711468532167,16.32304668545524
2000-04-01,5000,2.3191493462687505,16.2556418195826
2000-04-01,5100,2.8594096009339642,16.707228915349006
2000-04-01,5200,3.171253600737194,16.389334061988663
2000-04-01,5300,4.192418928065966,16.532874699124726
2000-04-01,5400,5.424539684837942,16.361285034609168
2000-04-01,5500,5.279805399957358,16.541435849103884
2000-04-01,5600,7.09800346004582,16.463549119263245
2000-04-01,5700,7.243646292795628,16.52673155409106
2000-04-01,5800,1.5156657963446476,17.424123116029122
2000-04-01,5900,17.884615384615383,17.09580833900253
2000-04-01,6000,21.85472972972973,24.09507722007722
2000-04-01,6100,67.58561643835614,18.673217003696454
2000-05-01,3800,18.912360872319244,32.99864564289464
2000-05-01,3900,14.21419559643482,31.767378643929533
2000-05-01,4000,29.919437150270387,23.92262109693739
2000-05-01,4100,22.064384844098107,23.796754703537964
2000-05-01,4200,17.35129088618706,17.765356031711278
2000-05-01,4300,7.381253357425427,14.099815787607259
2000-05-01,4400,10.717782152399419,13.713453385673617
2000-05-01,4500,13.282067274106398,13.937071356199292
2000-05-01,4600,13.13088426163746,13.498320650340414
2000-05-01,4700,11.624624393863192,15.944703278473972
2000-05-01,4800,12.998476223698676,16.275791401201882
2000-05-01,4900,15.114732284626827,16.90866291882909
2000-05-01,5000,19.371733753091956,19.036724354654517
2000-05-01,5100,23.47359789487339,20.36248513930678
2000-05-01,5200,31.874378714110478,21.199928593613066
2000-05-01,5300,41.99725731163791,22.326892479138426
2000-05-01,5400,47.93965829291245,25.148140563509518
2000-05-01,5500,51.22146415211365,26.64881416447943
2000-05-01,5600,50.441342871837975,26.28542883266456
2000-05-01,5700,46.50882167611846,25.543287262399648
2000-05-01,5800,27.403916449086157,18.399236749855508
2000-05-01,5900,39.57354925775978,25.502292495735503
2000-05-01,6000,59.22972972972973,30.952935694315006
2000-05-01,6100,83.92636986301368,28.217997165800657
2000-06-01,3800,65.01366392181701,42.85266625778794
2000-06-01,3900,42.57358267876766,37.566797030697586
2000-06-01,4000,58.85114023570602,27.400573047514182
2000-06-01,4100,62.87793968498885,25.469138080419214
2000-06-01,4200,46.97283789712433,19.24541453014591
2000-06-01,4300,32.74894759974613,12.629949816732669
2000-06-01,4400,33.39621324312624,13.789743642600719
2000-06-01,4500,38.88896136525512,13.761035653513195
2000-06-01,4600,37.9431087231941,14.379980827368877
2000-06-01,4700,33.91798669811096,14.573171102921593
