Year,Month,SCA,CCA
2000,1,0,
2000,2,0.88,74.52
2000,3,1.00,23.85
2000,4,0.47,51.07
2000,5,2.38,61.98
2000,6,9.47,81.18
2000,7,12.75,62.84
2000,8,9.61,78.10
2000,9,8.62,69.48
2000,10,5.76,43.02
2000,11,4.35,49.34
2000,12,2.81,32.46
2001,1,1.92,29.49
2001,2,1.14,9.61
2001,3,0.77,18.01
2001,4,1.41,37.11
2001,5,2.02,72.09
2001,6,1.19,97.10
2001,7,11.37,86.98
2001,8,9.15,51.87
2001,9,7.32,43.70
2001,10,4.24,39.47
2001,11,2.84,47.26
2001,12,2.07,6.08
2002,1,1.03,6.36
2002,2,0.56,13.35
2002,3,0.70,54.94
2002,4,0.97,52.27
2002,5,6.27,70.84
2002,6,18.26,59.18
2002,7,16.60,56.06
2002,8,11.23,73.89
2002,9,8.58,58.19
2002,10,7.24,57.95
2002,11,5.44,44.25
2002,12,3.81,25.86
2003,1,2.33,17.03
2003,2,1.56,3.76
2003,3,1.08,6.86
2003,4,1.42,18.05
2003,5,2.54,38.31
2003,6,6.82,75.90
2003,7,14.63,47.46
2003,8,11.09,43.78
2003,9,6.72,60.30
2003,10,4.42,27.25
2003,11,2.85,45.07
2003,12,2.37,33.72
2004,1,1.43,10.49
2004,2,0.92,10.07
2004,3,0.74,22.52
2004,4,1.89,45.21
2004,5,1.53,13.90
2004,6,11.53,72.84
2004,7,16.67,74.33
2004,8,9.53,46.66
2004,9,10.28,52.71
2004,10,4.76,70.49
2004,11,3.22,31.30
2004,12,2.27,20.38
2005,1,1.49,5.05
2005,2,0.88,0.63
2005,3,0.77,10.29
2005,4,1.43,10.92
2005,5,7.62,78.36
2005,6,27.71,75.27
2005,7,16.78,45.06
2005,8,22.04,59.22
2005,9,12.79,31.95
2005,10,8.39,26.29
2005,11,3.81,49.60
2005,12,3.41,10.69
2006,1,2.05,13.48
2006,2,1.37,4.89
2006,3,1.11,10.99
2006,4,1.24,30.73
2006,5,2.11,35.22
2006,6,9.06,77.07
2006,7,21.85,75.36
2006,8,18.76,40.94
2006,9,12.69,43.89
2006,10,7.22,46.06
2006,11,4.21,15.80
2006,12,2.77,37.91
2007,1,1.67,6.98
2007,2,1.23,5.77
2007,3,0.88,14.94
2007,4,1.93,36.51
2007,5,3.28,41.45
2007,6,27.31,53.61
2007,7,34.71,65.44
2007,8,32.81,33.17
2007,9,19.41,37.19
2007,10,10.67,41.21
2007,11,4.14,20.94
2007,12,3.21,14.56
2008,1,1.42,6.34
2008,2,0.60,0.44
2008,3,0.53,0.74
2008,4,1.83,25.02
2008,5,2.97,35.66
2008,6,12.44,52.00
2008,7,13.38,69.03
2008,8,22.13,78.24
2008,9,12.19,15.69
2008,10,7.29,20.80
2008,11,3.60,25.39
2008,12,1.94,1.99
2009,1,1.00,0.44
2009,2,0.66,3.18
2009,3,0.44,12.21
2009,4,0.81,20.94
2009,5,3.13,50.57
2009,6,6.76,45.98
2009,7,14.10,30.36
2009,8,10.74,80.13
2009,9,9.91,24.66
2009,10,7.39,47.88
2009,11,4.25,59.97
2009,12,3.02,19.86
2010,1,2.01,12.16
2010,2,1.23,26.29
2010,3,0.84,22.04
2010,4,1.18,23.34
2010,5,3.28,33.55
2010,6,10.61,72.88
2010,7,25.55,53.14
2010,8,24.41,47.01
2010,9,15.14,32.57
2010,10,9.50,37.01
2010,11,4.12,27.65
2010,12,2.92,9.75
2011,1,1.54,17.89
2011,2,0.86,1.03
2011,3,0.97,16.73
2011,4,2.07,27.55
2011,5,4.07,18.15
2011,6,9.35,54.63
2011,7,24.65,56.36
2011,8,26.22,54.75
2011,9,16.11,42.51
2011,10,9.04,24.31
2011,11,4.59,26.51
2011,12,2.60,8.71
2012,1,1.09,20.72
2012,2,0.67,15.10
2012,3,0.61,10.19
2012,4,0.63,28.15
2012,5,3.23,58.66
2012,6,10.07,59.92
2012,7,15.18,30.89
2012,8,8.52,48.80
2012,9,5.44,33.37
2012,10,3.08,33.29
2012,11,2.43,6.97
2012,12,1.85,43.26
2013,1,0.84,0.33
2013,2,0.60,26.75
2013,3,0.52,4.01
2013,4,1.27,25.22
2013,5,2.51,54.29
2013,6,11.69,50.18
2013,7,12.11,42.73
2013,8,16.01,41.78
2013,9,9.76,39.92
2013,10,5.43,18.94
2013,11,3.23,19.05
2013,12,1.94,4.99
2014,1,1.03,19.26
2014,2,0.62,15.95
2014,3,0.53,30.47
2014,4,1.83,26.06
2014,5,2.68,51.68
2014,6,21.54,56.53
2014,7,17.58,58.39
2014,8,12.52,45.28
2014,9,8.97,56.28
2014,10,5.69,33.91
2014,11,3.23,19.20
2014,12,2.27,15.91
2015,1,1.29,0.23
2015,2,0.66,2.84
2015,3,0.44,1.47
2015,4,0.58,33.40
2015,5,3.46,50.15
2015,6,14.28,66.09
2015,7,18.86,65.34
2015,8,15.94,55.69
2015,9,11.95,47.48
2015,10,8.31,35.06
2015,11,3.84,34.65
2015,12,2.30,12.21
2016,1,1.31,10.52
2016,2,0.70,14.28
2016,3,0.51,0.82
2016,4,1.57,16.58
2016,5,2.01,27.65
2016,6,3.69,19.54
2016,7,9.12,56.61
2016,8,14.16,55.55
2016,9,7.48,28.34
2016,10,3.30,22.09
2016,11,2.15,22.75
2016,12,1.13,12.32
2017,1,0.59,10.40
2017,2,0.41,20.08
2017,3,0.76,16.97
2017,4,1.07,43.83
2017,5,4.40,35.72
2017,6,14.02,69.44
2017,7,17.26,35.05
2017,8,17.40,67.33
2017,9,13.89,34.58
2017,10,8.89,50.61
2017,11,4.78,30.88
2017,12,3.17,19.39
2018,1,1.47,8.39
2018,2,0.72,2.89
2018,3,0.95,11.72
2018,4,2.02,27.27
2018,5,2.95,38.49
2018,6,19.19,64.26
2018,7,15.35,43.29
2018,8,10.36,51.78
2018,9,6.76,48.10
2018,10,7.90,42.50
2018,11,3.49,25.90
2018,12,2.25,10.42
2019,1,1.46,10.62
2019,2,0.78,13.36
2019,3,0.53,2.83
2019,4,0.77,9.83
2019,5,2.24,52.09
2019,6,12.22,65.31
2019,7,22.20,52.91
2019,8,17.19,51.09
2019,9,11.25,45.38
2019,10,7.41,29.27
2019,11,4.16,26.97
2019,12,2.40,2.36
2020,1,1.34,15.37
2020,2,0.74,1.38
2020,3,0.47,3.52
2020,4,0.61,33.20
2020,5,2.77,39.36
2020,6,7.17,69.77
2020,7,25.26,66.31
2020,8,17.95,53.02
2020,9,12.63,45.73
2020,10,7.37,27.92
2020,11,3.97,19.07
2020,12,2.69,13.94
2021,1,1.53,11.69
2021,2,0.65,2.63
2021,3,0.44,2.59
2021,4,0.56,18.47
2021,5,2.10,46.83
2021,6,8.39,60.35
2021,7,10.35,37.13
2021,8,7.87,44.71
2021,9,9.13,33.44
2021,10,5.66,30.27
2021,11,2.64,16.53
2021,12,1.01,4.51
2022,1,0.53,12.75
