Year,Month,SCA
2000,1,0
2000,2,0.18
2000,3,0.49
2000,4,0.42
2000,5,3.14
2000,6,9.16
2000,7,9.96
2000,8,6.07
2000,9,5.81
2000,10,2.49
2000,11,2.22
2000,12,0.99
2001,1,0.75
2001,2,0.50
2001,3,0.40
2001,4,0.84
2001,5,2.06
2001,6,9.26
2001,7,11.55
2001,8,8.30
2001,9,5.99
2001,10,2.42
2001,11,1.25
2001,12,0.77
2002,1,0.52
2002,2,0.48
2002,3,0.40
2002,4,2.50
2002,5,4.09
2002,6,13.60
2002,7,11.66
2002,8,9.54
2002,9,7.66
2002,10,4.84
2002,11,2.86
2002,12,1.66
2003,1,1.02
2003,2,0.73
2003,3,0.65
2003,4,1.55
2003,5,2.64
2003,6,11.23
2003,7,11.84
2003,8,9.54
2003,9,6.35
2003,10,3.86
2003,11,1.97
2003,12,1.30
2004,1,0.79
2004,2,0.60
2004,3,0.51
2004,4,1.80
2004,5,1.65
2004,6,10.38
2004,7,13.50
2004,8,7.07
2004,9,7.85
2004,10,3.15
2004,11,1.60
2004,12,1.00
2005,1,0.63
2005,2,0.56
2005,3,0.70
2005,4,1.16
2005,5,11.22
2005,6,23.57
2005,7,13.06
2005,8,14.25
2005,9,8.60
2005,10,3.39
2005,11,2.05
2005,12,1.64
2006,1,0.94
2006,2,0.66
2006,3,0.69
2006,4,0.91
2006,5,3.76
2006,6,12.66
2006,7,16.14
2006,8,11.74
2006,9,9.36
2006,10,4.55
2006,11,2.34
2006,12,1.41
2007,1,0.81
2007,2,0.66
2007,3,0.55
2007,4,1.85
2007,5,5.66
2007,6,16.23
2007,7,20.53
2007,8,14.93
2007,9,9.51
2007,10,5.23
2007,11,1.59
2007,12,2.12
2008,1,1.04
2008,2,0.67
2008,3,0.54
2008,4,2.12
2008,5,2.64
2008,6,12.86
2008,7,13.35
2008,8,14.31
2008,9,7.97
2008,10,2.51
2008,11,1.87
2008,12,0.90
2009,1,0.61
2009,2,0.55
2009,3,0.53
2009,4,0.74
2009,5,5.27
2009,6,7.46
2009,7,14.17
2009,8,11.02
2009,9,6.77
2009,10,2.46
2009,11,2.27
2009,12,1.87
2010,1,0.95
2010,2,0.67
2010,3,0.57
2010,4,1.34
2010,5,4.26
2010,6,14.39
2010,7,17.37
2010,8,13.71
2010,9,9.22
2010,10,3.58
2010,11,1.78
2010,12,1.37
2011,1,0.73
2011,2,0.60
2011,3,0.90
2011,4,1.44
2011,5,3.76
2011,6,12.28
2011,7,19.02
2011,8,12.76
2011,9,7.23
2011,10,3.98
2011,11,1.25
2011,12,0.84
2012,1,0.54
2012,2,0.55
2012,3,0.51
2012,4,0.92
2012,5,6.85
2012,6,11.24
2012,7,17.37
2012,8,9.83
2012,9,6.89
2012,10,3.37
2012,11,1.64
2012,12,0.99
2013,1,0.67
2013,2,0.62
2013,3,0.59
2013,4,0.78
2013,5,7.08
2013,6,11.20
2013,7,12.95
2013,8,12.99
2013,9,6.65
2013,10,2.61
2013,11,1.62
2013,12,0.84
2014,1,0.63
2014,2,0.53
2014,3,0.58
2014,4,2.05
2014,5,4.06
2014,6,15.57
2014,7,11.64
2014,8,8.16
2014,9,6.48
2014,10,2.91
2014,11,1.62
2014,12,0.97
2015,1,0.63
2015,2,0.53
2015,3,0.51
2015,4,0.67
2015,5,5.40
2015,6,14.08
2015,7,17.38
2015,8,12.17
2015,9,8.75
2015,10,3.87
2015,11,2.12
2015,12,1.03
2016,1,0.59
2016,2,0.51
2016,3,0.50
2016,4,1.31
2016,5,1.58
2016,6,6.48
2016,7,10.05
2016,8,10.46
2016,9,6.99
2016,10,2.28
2016,11,1.13
2016,12,0.72
2017,1,0.54
2017,2,0.44
2017,3,0.53
2017,4,0.89
2017,5,10.79
2017,6,18.76
2017,7,15.32
2017,8,10.04
2017,9,10.23
2017,10,3.79
2017,11,2.76
2017,12,1.69
2018,1,0.76
2018,2,0.60
2018,3,0.76
2018,4,1.86
2018,5,4.91
2018,6,13.91
2018,7,14.96
2018,8,8.11
2018,9,6.02
2018,10,3.87
2018,11,2.07
2018,12,1.11
2019,1,0.71
2019,2,0.55
2019,3,0.53
2019,4,0.86
2019,5,5.09
2019,6,18.08
2019,7,17.53
2019,8,12.17
2019,9,8.23
2019,10,3.51
2019,11,2.39
2019,12,1.33
2020,1,0.73
2020,2,0.73
2020,3,0.55
2020,4,1.10
2020,5,4.79
2020,6,14.67
2020,7,21.30
2020,8,12.23
2020,9,9.52
2020,10,2.97
2020,11,2.15
2020,12,1.66
2021,1,0.97
2021,2,0.62
2021,3,0.54
2021,4,0.79
2021,5,3.23
2021,6,13.35
2021,7,12.19
2021,8,8.88
2021,9,5.75
2021,10,2.74
2021,11,1.51
2021,12,0.71
2022,1,0.59
2022,2,0.46
2022,3,0.77
2022,4,2.24
2022,5,9.54
2022,6,16.29
2022,7,22.06
2022,8,11.77
2022,9,8.40
2022,10,3.60
2022,11,1.88
2022,12,0.79
2023,1,0.57
2023,2,0.46
2023,3,0.56
2023,4,0.99
2023,5,6.96
2023,6,17.68
2023,7,21.56
2023,8,14.16
2023,9,8.02
2023,10,4.04
2023,11,2.06
2023,12,1.65
